zipcode,prefecture_name,city,town,prefecture_kana,city_kana,town_kana,normalized_address
1000000,東京都,千代田区,,トウキョウト,チヨダク,,東京都千代田区
1000001,東京都,千代田区,千代田,トウキョウト,チヨダク,チヨダ,東京都千代田区千代田
1000002,東京都,千代田区,皇居外苑,トウキョウト,チヨダク,コウキョガイエン,東京都千代田区皇居外苑
1000003,東京都,千代田区,一ツ橋（１丁目）,トウキョウト,チヨダク,ヒトツバシ(1チョウメ),東京都千代田区一ツ橋（1-）
1000004,東京都,千代田区,大手町（次のビルを除く）,トウキョウト,チヨダク,オオテマチ(ツギノビルヲノゾク),東京都千代田区大手町（次のビルを除く）
1000005,東京都,千代田区,丸の内（次のビルを除く）,トウキョウト,チヨダク,マルノウチ(ツギノビルヲノゾク),東京都千代田区丸の内（次のビルを除く）
1000006,東京都,千代田区,有楽町,トウキョウト,チヨダク,ユウラクチョウ,東京都千代田区有楽町
1000011,東京都,千代田区,内幸町,トウキョウト,チヨダク,ウチサイワイチョウ,東京都千代田区内幸町
1000012,東京都,千代田区,日比谷公園,トウキョウト,チヨダク,ヒビヤコウエン,東京都千代田区日比谷公園
1000013,東京都,千代田区,霞が関（次のビルを除く）,トウキョウト,チヨダク,カスミガセキ(ツギノビルヲノゾク),東京都千代田区霞が関（次のビルを除く）
1000014,東京都,千代田区,永田町（次のビルを除く）,トウキョウト,チヨダク,ナガタチョウ(ツギノビルヲノゾク),東京都千代田区永田町（次のビルを除く）
1000100,東京都,大島町,,トウキョウト,オオシママチ,,東京都大島町
1000101,東京都,大島町,元町,トウキョウト,オオシママチ,モトマチ,東京都大島町元町
1000102,東京都,大島町,岡田,トウキョウト,オオシママチ,オカタ,東京都大島町岡田
1000103,東京都,大島町,泉津,トウキョウト,オオシママチ,センヅ,東京都大島町泉津
1000104,東京都,大島町,野増,トウキョウト,オオシママチ,ノマシ,東京都大島町野増
1000211,東京都,大島町,差木地,トウキョウト,オオシママチ,サシキジ,東京都大島町差木地
1000212,東京都,大島町,波浮港,トウキョウト,オオシママチ,ハブミナト,東京都大島町波浮港
1000301,東京都,利島村,,トウキョウト,トシマムラ,,東京都利島村
1000400,東京都,新島村,,トウキョウト,ニイジマムラ,,東京都新島村
1000401,東京都,新島村,若郷,トウキョウト,ニイジマムラ,ワカゴウ,東京都新島村若郷
1000402,東京都,新島村,本村,トウキョウト,ニイジマムラ,ホンソン,東京都新島村本村
1000511,東京都,新島村,式根島,トウキョウト,ニイジマムラ,シキネジマ,東京都新島村式根島
1000601,東京都,神津島村,,トウキョウト,コウヅシマムラ,,東京都神津島村
1001100,東京都,三宅島三宅村,,トウキョウト,ミヤケジマミヤケムラ,,東京都三宅島三宅村
1001101,東京都,三宅島三宅村,神着,トウキョウト,ミヤケジマミヤケムラ,カミツキ,東京都三宅島三宅村神着
1001102,東京都,三宅島三宅村,伊豆,トウキョウト,ミヤケジマミヤケムラ,イズ,東京都三宅島三宅村伊豆
1001103,東京都,三宅島三宅村,伊ケ谷,トウキョウト,ミヤケジマミヤケムラ,イガヤ,東京都三宅島三宅村伊ケ谷
1001211,東京都,三宅島三宅村,坪田,トウキョウト,ミヤケジマミヤケムラ,ツボタ,東京都三宅島三宅村坪田
1001212,東京都,三宅島三宅村,阿古,トウキョウト,ミヤケジマミヤケムラ,アコ,東京都三宅島三宅村阿古
1001213,東京都,三宅島三宅村,雄山,トウキョウト,ミヤケジマミヤケムラ,オヤマ,東京都三宅島三宅村雄山
1001301,東京都,御蔵島村,,トウキョウト,ミクラジマムラ,,東京都御蔵島村
1001400,東京都,八丈島八丈町,,トウキョウト,ハチジョウジマハチジョウマチ,,東京都八丈島八丈町
1001401,東京都,八丈島八丈町,大賀郷,トウキョウト,ハチジョウジマハチジョウマチ,オオカゴウ,東京都八丈島八丈町大賀郷
1001511,東京都,八丈島八丈町,三根,トウキョウト,ハチジョウジマハチジョウマチ,ミツネ,東京都八丈島八丈町三根
1001621,東京都,八丈島八丈町,樫立,トウキョウト,ハチジョウジマハチジョウマチ,カシタテ,東京都八丈島八丈町樫立
1001622,東京都,八丈島八丈町,末吉,トウキョウト,ハチジョウジマハチジョウマチ,スエヨシ,東京都八丈島八丈町末吉
1001623,東京都,八丈島八丈町,中之郷,トウキョウト,ハチジョウジマハチジョウマチ,ナカノゴウ,東京都八丈島八丈町中之郷
1001701,東京都,青ヶ島村,,トウキョウト,アオガシマムラ,,東京都青ヶ島村
1002100,東京都,小笠原村,,トウキョウト,オガサワラムラ,,東京都小笠原村
1002101,東京都,小笠原村,父島,トウキョウト,オガサワラムラ,チチジマ,東京都小笠原村父島
1002211,東京都,小笠原村,母島,トウキョウト,オガサワラムラ,ハハジマ,東京都小笠原村母島
1006001,東京都,千代田区,霞が関霞が関ビル（１階）,トウキョウト,チヨダク,カスミガセキカスミガセキビル(1カイ),東京都千代田区霞が関霞が関ビル（1階）
