zipcode,prefecture_name,city,town,prefecture_kana,city_kana,town_kana,normalized_address
6800000,鳥取県,鳥取市,,トットリケン,トットリシ,,鳥取県鳥取市
6800001,鳥取県,鳥取市,浜坂,トットリケン,トットリシ,ハマサカ,鳥取県鳥取市浜坂
6800002,鳥取県,鳥取市,浜坂東,トットリケン,トットリシ,ハマサカヒガシ,鳥取県鳥取市浜坂東
6800003,鳥取県,鳥取市,覚寺,トットリケン,トットリシ,カクジ,鳥取県鳥取市覚寺
6800004,鳥取県,鳥取市,北園,トットリケン,トットリシ,キタゾノ,鳥取県鳥取市北園
6800005,鳥取県,鳥取市,円護寺,トットリケン,トットリシ,エンゴジ,鳥取県鳥取市円護寺
6800006,鳥取県,鳥取市,丸山町,トットリケン,トットリシ,マルヤマチョウ,鳥取県鳥取市丸山町
6800007,鳥取県,鳥取市,湯所町,トットリケン,トットリシ,ユトコロチョウ,鳥取県鳥取市湯所町
6800008,鳥取県,鳥取市,山城町,トットリケン,トットリシ,ヤマシロチョウ,鳥取県鳥取市山城町
6800011,鳥取県,鳥取市,東町,トットリケン,トットリシ,ヒガシマチ,鳥取県鳥取市東町
6800012,鳥取県,鳥取市,栗谷町,トットリケン,トットリシ,クリタニチョウ,鳥取県鳥取市栗谷町
6800013,鳥取県,鳥取市,江崎町,トットリケン,トットリシ,エザキチョウ,鳥取県鳥取市江崎町
6800014,鳥取県,鳥取市,馬場町,トットリケン,トットリシ,ババノチョウ,鳥取県鳥取市馬場町
6800015,鳥取県,鳥取市,上町,トットリケン,トットリシ,ウエマチ,鳥取県鳥取市上町
6800016,鳥取県,鳥取市,中町,トットリケン,トットリシ,ナカマチ,鳥取県鳥取市中町
6800017,鳥取県,鳥取市,尚徳町,トットリケン,トットリシ,ショウトクチョウ,鳥取県鳥取市尚徳町
6800021,鳥取県,鳥取市,材木町,トットリケン,トットリシ,ザイモクチョウ,鳥取県鳥取市材木町
6800022,鳥取県,鳥取市,西町,トットリケン,トットリシ,ニシマチ,鳥取県鳥取市西町
6800023,鳥取県,鳥取市,片原,トットリケン,トットリシ,カタハラ,鳥取県鳥取市片原
6800024,鳥取県,鳥取市,玄好町,トットリケン,トットリシ,ゲンコウチョウ,鳥取県鳥取市玄好町
6800031,鳥取県,鳥取市,本町,トットリケン,トットリシ,ホンマチ,鳥取県鳥取市本町
6800032,鳥取県,鳥取市,茶町,トットリケン,トットリシ,チャマチ,鳥取県鳥取市茶町
6800033,鳥取県,鳥取市,二階町,トットリケン,トットリシ,ニカイマチ,鳥取県鳥取市二階町
6800034,鳥取県,鳥取市,元魚町,トットリケン,トットリシ,モトウオマチ,鳥取県鳥取市元魚町
6800035,鳥取県,鳥取市,新町,トットリケン,トットリシ,シンマチ,鳥取県鳥取市新町
6800036,鳥取県,鳥取市,川端,トットリケン,トットリシ,カワバタ,鳥取県鳥取市川端
6800037,鳥取県,鳥取市,元町,トットリケン,トットリシ,モトマチ,鳥取県鳥取市元町
6800041,鳥取県,鳥取市,掛出町,トットリケン,トットリシ,カケダシチョウ,鳥取県鳥取市掛出町
6800042,鳥取県,鳥取市,庖丁人町,トットリケン,トットリシ,ホウチョウニンマチ,鳥取県鳥取市庖丁人町
6800043,鳥取県,鳥取市,大榎町,トットリケン,トットリシ,オオエノキチョウ,鳥取県鳥取市大榎町
6800044,鳥取県,鳥取市,御弓町,トットリケン,トットリシ,オユミノチョウ,鳥取県鳥取市御弓町
6800045,鳥取県,鳥取市,大工町頭,トットリケン,トットリシ,ダイクマチガシラ,鳥取県鳥取市大工町頭
6800046,鳥取県,鳥取市,元大工町,トットリケン,トットリシ,モトダイクマチ,鳥取県鳥取市元大工町
6800047,鳥取県,鳥取市,上魚町,トットリケン,トットリシ,カミウオマチ,鳥取県鳥取市上魚町
6800051,鳥取県,鳥取市,若桜町,トットリケン,トットリシ,ワカサマチ,鳥取県鳥取市若桜町
6800052,鳥取県,鳥取市,鍛冶町,トットリケン,トットリシ,カジマチ,鳥取県鳥取市鍛冶町
6800053,鳥取県,鳥取市,寺町,トットリケン,トットリシ,テラマチ,鳥取県鳥取市寺町
6800054,鳥取県,鳥取市,桶屋町,トットリケン,トットリシ,オケヤマチ,鳥取県鳥取市桶屋町
6800055,鳥取県,鳥取市,戎町,トットリケン,トットリシ,エビスマチ,鳥取県鳥取市戎町
6800056,鳥取県,鳥取市,職人町,トットリケン,トットリシ,ショクニンマチ,鳥取県鳥取市職人町
6800061,鳥取県,鳥取市,立川町,トットリケン,トットリシ,タチカワチョウ,鳥取県鳥取市立川町
6800062,鳥取県,鳥取市,吉方町,トットリケン,トットリシ,ヨシカタチョウ,鳥取県鳥取市吉方町
6800071,鳥取県,鳥取市,百谷,トットリケン,トットリシ,モモダニ,鳥取県鳥取市百谷
6800072,鳥取県,鳥取市,滝山,トットリケン,トットリシ,タキヤマ,鳥取県鳥取市滝山
6800073,鳥取県,鳥取市,小西谷,トットリケン,トットリシ,コザイ,鳥取県鳥取市小西谷
6800074,鳥取県,鳥取市,卯垣,トットリケン,トットリシ,ボウガキ,鳥取県鳥取市卯垣
6800081,鳥取県,鳥取市,岩倉,トットリケン,トットリシ,イワクラ,鳥取県鳥取市岩倉
6800131,鳥取県,鳥取市,国府町高岡,トットリケン,トットリシ,コクフチョウタカオカ,鳥取県鳥取市国府町高岡
6800132,鳥取県,鳥取市,国府町神垣,トットリケン,トットリシ,コクフチョウコウガケ,鳥取県鳥取市国府町神垣
6800133,鳥取県,鳥取市,国府町山根,トットリケン,トットリシ,コクフチョウヤマネ,鳥取県鳥取市国府町山根
6800134,鳥取県,鳥取市,国府町清水,トットリケン,トットリシ,コクフチョウスンズ,鳥取県鳥取市国府町清水
6800135,鳥取県,鳥取市,国府町谷,トットリケン,トットリシ,コクフチョウタニ,鳥取県鳥取市国府町谷
6800136,鳥取県,鳥取市,国府町糸谷,トットリケン,トットリシ,コクフチョウイトタニ,鳥取県鳥取市国府町糸谷
6800141,鳥取県,鳥取市,国府町美歎,トットリケン,トットリシ,コクフチョウミタニ,鳥取県鳥取市国府町美歎
6800142,鳥取県,鳥取市,国府町麻生,トットリケン,トットリシ,コクフチョウアソウ,鳥取県鳥取市国府町麻生
6800143,鳥取県,鳥取市,国府町玉鉾,トットリケン,トットリシ,コクフチョウタマボコ,鳥取県鳥取市国府町玉鉾
6800144,鳥取県,鳥取市,国府町岡益,トットリケン,トットリシ,コクフチョウオカマス,鳥取県鳥取市国府町岡益
6800145,鳥取県,鳥取市,国府町広西,トットリケン,トットリシ,コクフチョウヒロセ,鳥取県鳥取市国府町広西
6800146,鳥取県,鳥取市,国府町町屋,トットリケン,トットリシ,コクフチョウマチヤ,鳥取県鳥取市国府町町屋
6800151,鳥取県,鳥取市,国府町宮下,トットリケン,トットリシ,コクフチョウミヤノシタ,鳥取県鳥取市国府町宮下
6800152,鳥取県,鳥取市,国府町庁,トットリケン,トットリシ,コクフチョウチョウ,鳥取県鳥取市国府町庁
6800153,鳥取県,鳥取市,国府町法花寺,トットリケン,トットリシ,コクフチョウホッケジ,鳥取県鳥取市国府町法花寺
6800154,鳥取県,鳥取市,国府町三代寺,トットリケン,トットリシ,コクフチョウサンダイジ,鳥取県鳥取市国府町三代寺
6800155,鳥取県,鳥取市,国府町国分寺,トットリケン,トットリシ,コクフチョウコクブンジ,鳥取県鳥取市国府町国分寺
6800156,鳥取県,鳥取市,国府町中郷,トットリケン,トットリシ,コクフチョウチュウゴウ,鳥取県鳥取市国府町中郷
6800201,鳥取県,鳥取市,国府町雨滝,トットリケン,トットリシ,コクフチョウアメダキ,鳥取県鳥取市国府町雨滝
6800202,鳥取県,鳥取市,国府町石井谷,トットリケン,トットリシ,コクフチョウイワイダニ,鳥取県鳥取市国府町石井谷
6800203,鳥取県,鳥取市,国府町大石,トットリケン,トットリシ,コクフチョウオオイシ,鳥取県鳥取市国府町大石
