zipcode,prefecture_name,city,town,prefecture_kana,city_kana,town_kana,normalized_address
0100000,秋田県,秋田市,,アキタケン,アキタシ,,秋田県秋田市
0100001,秋田県,秋田市,中通,アキタケン,アキタシ,ナカドオリ,秋田県秋田市中通
0100002,秋田県,秋田市,東通仲町,アキタケン,アキタシ,ヒガシドオリナカマチ,秋田県秋田市東通仲町
0100003,秋田県,秋田市,東通,アキタケン,アキタシ,ヒガシドオリ,秋田県秋田市東通
0100004,秋田県,秋田市,東通観音前,アキタケン,アキタシ,ヒガシドオリカンノンマエ,秋田県秋田市東通観音前
0100005,秋田県,秋田市,東通明田,アキタケン,アキタシ,ヒガシドオリミョウデン,秋田県秋田市東通明田
0100006,秋田県,秋田市,東通館ノ越,アキタケン,アキタシ,ヒガシドオリタテノコシ,秋田県秋田市東通館ノ越
0100011,秋田県,秋田市,南通亀の町,アキタケン,アキタシ,ミナミドオリカメノチョウ,秋田県秋田市南通亀の町
0100012,秋田県,秋田市,南通みその町,アキタケン,アキタシ,ミナミドオリミソノマチ,秋田県秋田市南通みその町
0100013,秋田県,秋田市,南通築地,アキタケン,アキタシ,ミナミドオリツキジ,秋田県秋田市南通築地
0100014,秋田県,秋田市,南通宮田,アキタケン,アキタシ,ミナミドオリミヤタ,秋田県秋田市南通宮田
0100021,秋田県,秋田市,楢山登町,アキタケン,アキタシ,ナラヤマノボリマチ,秋田県秋田市楢山登町
0100022,秋田県,秋田市,楢山南中町,アキタケン,アキタシ,ナラヤマミナミナカチョウ,秋田県秋田市楢山南中町
0100023,秋田県,秋田市,楢山本町,アキタケン,アキタシ,ナラヤマホンチョウ,秋田県秋田市楢山本町
0100024,秋田県,秋田市,楢山南新町上丁,アキタケン,アキタシ,ナラヤマミナミシンマチカミチョウ,秋田県秋田市楢山南新町上丁
0100025,秋田県,秋田市,楢山佐竹町,アキタケン,アキタシ,ナラヤマサタケマチ,秋田県秋田市楢山佐竹町
0100026,秋田県,秋田市,楢山古川新町,アキタケン,アキタシ,ナラヤマフルカワシンマチ,秋田県秋田市楢山古川新町
0100027,秋田県,秋田市,楢山南新町下丁,アキタケン,アキタシ,ナラヤマミナミシンマチシモチョウ,秋田県秋田市楢山南新町下丁
0100028,秋田県,秋田市,楢山共和町,アキタケン,アキタシ,ナラヤマキョウワマチ,秋田県秋田市楢山共和町
0100029,秋田県,秋田市,楢山川口境,アキタケン,アキタシ,ナラヤマカワグチサカイ,秋田県秋田市楢山川口境
0100031,秋田県,秋田市,楢山大元町,アキタケン,アキタシ,ナラヤマオオモトマチ,秋田県秋田市楢山大元町
0100032,秋田県,秋田市,楢山太田町,アキタケン,アキタシ,ナラヤマオオタマチ,秋田県秋田市楢山太田町
0100033,秋田県,秋田市,楢山石塚町,アキタケン,アキタシ,ナラヤマイシヅカチョウ,秋田県秋田市楢山石塚町
0100034,秋田県,秋田市,楢山,アキタケン,アキタシ,ナラヤマ,秋田県秋田市楢山
0100035,秋田県,秋田市,楢山城南町,アキタケン,アキタシ,ナラヤマジョウナンマチ,秋田県秋田市楢山城南町
0100036,秋田県,秋田市,楢山金照町,アキタケン,アキタシ,ナラヤマキンショウマチ,秋田県秋田市楢山金照町
0100037,秋田県,秋田市,楢山愛宕下,アキタケン,アキタシ,ナラヤマアタゴシタ,秋田県秋田市楢山愛宕下
0100038,秋田県,秋田市,楢山城南新町,アキタケン,アキタシ,ナラヤマジョウナンシンマチ,秋田県秋田市楢山城南新町
0100041,秋田県,秋田市,広面,アキタケン,アキタシ,ヒロオモテ,秋田県秋田市広面
0100042,秋田県,秋田市,桜,アキタケン,アキタシ,サクラ,秋田県秋田市桜
