zipcode,prefecture_name,city,town,prefecture_kana,city_kana,town_kana,normalized_address
3000000,茨城県,土浦市,,イバラキケン,ツチウラシ,,茨城県土浦市
3000001,茨城県,土浦市,今泉,イバラキケン,ツチウラシ,イマイズミ,茨城県土浦市今泉
3000002,茨城県,土浦市,粟野町,イバラキケン,ツチウラシ,アワノマチ,茨城県土浦市粟野町
3000003,茨城県,土浦市,紫ケ丘,イバラキケン,ツチウラシ,ムラサキガオカ,茨城県土浦市紫ケ丘
3000004,茨城県,土浦市,小山崎,イバラキケン,ツチウラシ,コヤマザキ,茨城県土浦市小山崎
3000005,茨城県,土浦市,中貫,イバラキケン,ツチウラシ,ナカヌキ,茨城県土浦市中貫
3000006,茨城県,土浦市,東中貫町,イバラキケン,ツチウラシ,ヒガシナカヌキマチ,茨城県土浦市東中貫町
3000007,茨城県,土浦市,板谷,イバラキケン,ツチウラシ,イタヤ,茨城県土浦市板谷
3000008,茨城県,土浦市,笠師町,イバラキケン,ツチウラシ,カサシマチ,茨城県土浦市笠師町
3000009,茨城県,土浦市,中都町,イバラキケン,ツチウラシ,ナカツマチ,茨城県土浦市中都町
3000011,茨城県,土浦市,神立中央,イバラキケン,ツチウラシ,カンダツチュウオウ,茨城県土浦市神立中央
3000012,茨城県,土浦市,神立東,イバラキケン,ツチウラシ,カンダツヒガシ,茨城県土浦市神立東
3000013,茨城県,土浦市,神立町,イバラキケン,ツチウラシ,カンダツマチ,茨城県土浦市神立町
3000014,茨城県,土浦市,西神立,イバラキケン,ツチウラシ,ニシカンダツ,茨城県土浦市西神立
3000015,茨城県,土浦市,北神立町,イバラキケン,ツチウラシ,キタカンダツマチ,茨城県土浦市北神立町
3000016,茨城県,土浦市,中神立町,イバラキケン,ツチウラシ,ナカカンダツマチ,茨城県土浦市中神立町
3000021,茨城県,土浦市,菅谷町,イバラキケン,ツチウラシ,スゲノヤマチ,茨城県土浦市菅谷町
3000022,茨城県,土浦市,白鳥町,イバラキケン,ツチウラシ,シラトリマチ,茨城県土浦市白鳥町
3000023,茨城県,土浦市,沖宿町,イバラキケン,ツチウラシ,オキジュクマチ,茨城県土浦市沖宿町
