zipcode,prefecture_name,city,town,prefecture_kana,city_kana,town_kana,normalized_address
9900000,山形県,山形市,,ヤマガタケン,ヤマガタシ,,山形県山形市
9900001,山形県,山形市,穂積,ヤマガタケン,ヤマガタシ,ホヅミ,山形県山形市穂積
9900002,山形県,山形市,高原町,ヤマガタケン,ヤマガタシ,タカハラマチ,山形県山形市高原町
9900003,山形県,山形市,早乙女,ヤマガタケン,ヤマガタシ,サオトメ,山形県山形市早乙女
9900004,山形県,山形市,上山家町,ヤマガタケン,ヤマガタシ,カミヤンベマチ,山形県山形市上山家町
9900005,山形県,山形市,下山家町,ヤマガタケン,ヤマガタシ,シモヤンベマチ,山形県山形市下山家町
9900006,山形県,山形市,山家本町,ヤマガタケン,ヤマガタシ,ヤンベホンチョウ,山形県山形市山家本町
9900007,山形県,山形市,沼の辺町,ヤマガタケン,ヤマガタシ,ヌマノベマチ,山形県山形市沼の辺町
9900008,山形県,山形市,双月新町,ヤマガタケン,ヤマガタシ,ソウツキシンチョウ,山形県山形市双月新町
9900011,山形県,山形市,妙見寺,ヤマガタケン,ヤマガタシ,ミョウケンジ,山形県山形市妙見寺
9900012,山形県,山形市,釈迦堂,ヤマガタケン,ヤマガタシ,シャカドウ,山形県山形市釈迦堂
9900013,山形県,山形市,防原町,ヤマガタケン,ヤマガタシ,ボウバラマチ,山形県山形市防原町
9900014,山形県,山形市,滑川,ヤマガタケン,ヤマガタシ,ナメカワ,山形県山形市滑川
9900015,山形県,山形市,新山,ヤマガタケン,ヤマガタシ,ニイヤマ,山形県山形市新山
9900016,山形県,山形市,関沢,ヤマガタケン,ヤマガタシ,セキザワ,山形県山形市関沢
9900017,山形県,山形市,上宝沢,ヤマガタケン,ヤマガタシ,カミホウザワ,山形県山形市上宝沢
9900018,山形県,山形市,下宝沢,ヤマガタケン,ヤマガタシ,シモホウザワ,山形県山形市下宝沢
9900021,山形県,山形市,小白川町,ヤマガタケン,ヤマガタシ,コジラカワマチ,山形県山形市小白川町
9900022,山形県,山形市,東山形,ヤマガタケン,ヤマガタシ,ヒガシヤマガタ,山形県山形市東山形
9900023,山形県,山形市,松波,ヤマガタケン,ヤマガタシ,マツナミ,山形県山形市松波
9900024,山形県,山形市,あさひ町,ヤマガタケン,ヤマガタシ,アサヒマチ,山形県山形市あさひ町
9900025,山形県,山形市,あこや町,ヤマガタケン,ヤマガタシ,アコヤチョウ,山形県山形市あこや町
9900031,山形県,山形市,十日町,ヤマガタケン,ヤマガタシ,トウカマチ,山形県山形市十日町
9900032,山形県,山形市,小姓町,ヤマガタケン,ヤマガタシ,コショウマチ,山形県山形市小姓町
9900033,山形県,山形市,諏訪町,ヤマガタケン,ヤマガタシ,スワマチ,山形県山形市諏訪町
9900034,山形県,山形市,東原町,ヤマガタケン,ヤマガタシ,ヒガシハラマチ,山形県山形市東原町
9900035,山形県,山形市,小荷駄町,ヤマガタケン,ヤマガタシ,コニダマチ,山形県山形市小荷駄町
9900036,山形県,山形市,三日町,ヤマガタケン,ヤマガタシ,ミッカマチ,山形県山形市三日町
9900037,山形県,山形市,八日町,ヤマガタケン,ヤマガタシ,ヨウカマチ,山形県山形市八日町
9900038,山形県,山形市,幸町,ヤマガタケン,ヤマガタシ,サイワイチョウ,山形県山形市幸町
9900039,山形県,山形市,香澄町,ヤマガタケン,ヤマガタシ,カスミチョウ,山形県山形市香澄町
9900041,山形県,山形市,緑町,ヤマガタケン,ヤマガタシ,ミドリチョウ,山形県山形市緑町
9900042,山形県,山形市,七日町,ヤマガタケン,ヤマガタシ,ナヌカマチ,山形県山形市七日町
9900043,山形県,山形市,本町,ヤマガタケン,ヤマガタシ,ホンチョウ,山形県山形市本町
