zipcode,prefecture_name,city,town,prefecture_kana,city_kana,town_kana,normalized_address
5300000,大阪府,大阪市北区,,オオサカフ,オオサカシキタク,,大阪府大阪市北区
5300001,大阪府,大阪市北区,梅田,オオサカフ,オオサカシキタク,ウメダ,大阪府大阪市北区梅田
5300002,大阪府,大阪市北区,曽根崎新地,オオサカフ,オオサカシキタク,ソネザキシンチ,大阪府大阪市北区曽根崎新地
5300003,大阪府,大阪市北区,堂島,オオサカフ,オオサカシキタク,ドウジマ,大阪府大阪市北区堂島
5300004,大阪府,大阪市北区,堂島浜,オオサカフ,オオサカシキタク,ドウジマハマ,大阪府大阪市北区堂島浜
5300005,大阪府,大阪市北区,中之島（次のビルを除く）,オオサカフ,オオサカシキタク,ナカノシマ(ツギノビルヲノゾク),大阪府大阪市北区中之島（次のビルを除く）
5300011,大阪府,大阪市北区,大深町,オオサカフ,オオサカシキタク,オオフカチョウ,大阪府大阪市北区大深町
5300012,大阪府,大阪市北区,芝田,オオサカフ,オオサカシキタク,シバタ,大阪府大阪市北区芝田
5300013,大阪府,大阪市北区,茶屋町,オオサカフ,オオサカシキタク,チャヤマチ,大阪府大阪市北区茶屋町
5300014,大阪府,大阪市北区,鶴野町,オオサカフ,オオサカシキタク,ツルノチョウ,大阪府大阪市北区鶴野町
5300015,大阪府,大阪市北区,中崎西,オオサカフ,オオサカシキタク,ナカザキニシ,大阪府大阪市北区中崎西
5300016,大阪府,大阪市北区,中崎,オオサカフ,オオサカシキタク,ナカザキ,大阪府大阪市北区中崎
5300017,大阪府,大阪市北区,角田町,オオサカフ,オオサカシキタク,カクダチョウ,大阪府大阪市北区角田町
5300018,大阪府,大阪市北区,小松原町,オオサカフ,オオサカシキタク,コマツバラチョウ,大阪府大阪市北区小松原町
5300021,大阪府,大阪市北区,浮田,オオサカフ,オオサカシキタク,ウキダ,大阪府大阪市北区浮田
5300022,大阪府,大阪市北区,浪花町,オオサカフ,オオサカシキタク,ナニワチョウ,大阪府大阪市北区浪花町
5300023,大阪府,大阪市北区,黒崎町,オオサカフ,オオサカシキタク,クロサキチョウ,大阪府大阪市北区黒崎町
5300024,大阪府,大阪市北区,山崎町,オオサカフ,オオサカシキタク,ヤマザキチョウ,大阪府大阪市北区山崎町
5300025,大阪府,大阪市北区,扇町,オオサカフ,オオサカシキタク,オウギマチ,大阪府大阪市北区扇町
5300026,大阪府,大阪市北区,神山町,オオサカフ,オオサカシキタク,カミヤマチョウ,大阪府大阪市北区神山町
5300027,大阪府,大阪市北区,堂山町,オオサカフ,オオサカシキタク,ドウヤマチョウ,大阪府大阪市北区堂山町
5300028,大阪府,大阪市北区,万歳町,オオサカフ,オオサカシキタク,バンザイチョウ,大阪府大阪市北区万歳町
5300031,大阪府,大阪市北区,菅栄町,オオサカフ,オオサカシキタク,カンエイチョウ,大阪府大阪市北区菅栄町
5300032,大阪府,大阪市北区,樋之口町,オオサカフ,オオサカシキタク,ヒノクチチョウ,大阪府大阪市北区樋之口町
5300033,大阪府,大阪市北区,池田町,オオサカフ,オオサカシキタク,イケダチョウ,大阪府大阪市北区池田町
5300034,大阪府,大阪市北区,錦町,オオサカフ,オオサカシキタク,ニシキチョウ,大阪府大阪市北区錦町
5300035,大阪府,大阪市北区,同心,オオサカフ,オオサカシキタク,ドウシン,大阪府大阪市北区同心
5300036,大阪府,大阪市北区,与力町,オオサカフ,オオサカシキタク,ヨリキマチ,大阪府大阪市北区与力町
5300037,大阪府,大阪市北区,松ケ枝町,オオサカフ,オオサカシキタク,マツガエチョウ,大阪府大阪市北区松ケ枝町
5300038,大阪府,大阪市北区,紅梅町,オオサカフ,オオサカシキタク,コウバイチョウ,大阪府大阪市北区紅梅町
5300041,大阪府,大阪市北区,天神橋（１〜６丁目）,オオサカフ,オオサカシキタク,テンジンバシ(1-6チョウメ),大阪府大阪市北区天神橋（1〜6-）
5300042,大阪府,大阪市北区,天満橋（次のビルを除く）,オオサカフ,オオサカシキタク,テンマバシ(ツギノビルヲノゾク),大阪府大阪市北区天満橋（次のビルを除く）
5300043,大阪府,大阪市北区,天満,オオサカフ,オオサカシキタク,テンマ,大阪府大阪市北区天満
5300044,大阪府,大阪市北区,東天満,オオサカフ,オオサカシキタク,ヒガシテンマ,大阪府大阪市北区東天満
5300045,大阪府,大阪市北区,天神西町,オオサカフ,オオサカシキタク,テンジンニシマチ,大阪府大阪市北区天神西町
5300046,大阪府,大阪市北区,菅原町,オオサカフ,オオサカシキタク,スガハラチョウ,大阪府大阪市北区菅原町
5300047,大阪府,大阪市北区,西天満,オオサカフ,オオサカシキタク,ニシテンマ,大阪府大阪市北区西天満
5300051,大阪府,大阪市北区,太融寺町,オオサカフ,オオサカシキタク,タイユウジチョウ,大阪府大阪市北区太融寺町
5300052,大阪府,大阪市北区,南扇町,オオサカフ,オオサカシキタク,ミナミオウギマチ,大阪府大阪市北区南扇町
5300053,大阪府,大阪市北区,末広町,オオサカフ,オオサカシキタク,スエヒロチョウ,大阪府大阪市北区末広町
5300054,大阪府,大阪市北区,南森町,オオサカフ,オオサカシキタク,ミナミモリマチ,大阪府大阪市北区南森町
5300055,大阪府,大阪市北区,野崎町,オオサカフ,オオサカシキタク,ノザキチョウ,大阪府大阪市北区野崎町
5300056,大阪府,大阪市北区,兎我野町,オオサカフ,オオサカシキタク,トガノチョウ,大阪府大阪市北区兎我野町
5300057,大阪府,大阪市北区,曽根崎,オオサカフ,オオサカシキタク,ソネザキ,大阪府大阪市北区曽根崎
5306001,大阪府,大阪市北区,天満橋ＯＡＰタワー（１階）,オオサカフ,オオサカシキタク,テンマバシOAPタワー(1カイ),大阪府大阪市北区天満橋ＯＡＰタワー（1階）
5306002,大阪府,大阪市北区,天満橋ＯＡＰタワー（２階）,オオサカフ,オオサカシキタク,テンマバシOAPタワー(2カイ),大阪府大阪市北区天満橋ＯＡＰタワー（2階）
5306003,大阪府,大阪市北区,天満橋ＯＡＰタワー（３階）,オオサカフ,オオサカシキタク,テンマバシOAPタワー(3カイ),大阪府大阪市北区天満橋ＯＡＰタワー（3階）
5306004,大阪府,大阪市北区,天満橋ＯＡＰタワー（４階）,オオサカフ,オオサカシキタク,テンマバシOAPタワー(4カイ),大阪府大阪市北区天満橋ＯＡＰタワー（4階）
5306005,大阪府,大阪市北区,天満橋ＯＡＰタワー（５階）,オオサカフ,オオサカシキタク,テンマバシOAPタワー(5カイ),大阪府大阪市北区天満橋ＯＡＰタワー（5階）
5306006,大阪府,大阪市北区,天満橋ＯＡＰタワー（６階）,オオサカフ,オオサカシキタク,テンマバシOAPタワー(6カイ),大阪府大阪市北区天満橋ＯＡＰタワー（6階）
5306007,大阪府,大阪市北区,天満橋ＯＡＰタワー（７階）,オオサカフ,オオサカシキタク,テンマバシOAPタワー(7カイ),大阪府大阪市北区天満橋ＯＡＰタワー（7階）
5306008,大阪府,大阪市北区,天満橋ＯＡＰタワー（８階）,オオサカフ,オオサカシキタク,テンマバシOAPタワー(8カイ),大阪府大阪市北区天満橋ＯＡＰタワー（8階）
5306009,大阪府,大阪市北区,天満橋ＯＡＰタワー（９階）,オオサカフ,オオサカシキタク,テンマバシOAPタワー(9カイ),大阪府大阪市北区天満橋ＯＡＰタワー（9階）
5306010,大阪府,大阪市北区,天満橋ＯＡＰタワー（１０階）,オオサカフ,オオサカシキタク,テンマバシOAPタワー(10カイ),大阪府大阪市北区天満橋ＯＡＰタワー（10階）
