zipcode,prefecture_name,city,town,prefecture_kana,city_kana,town_kana,normalized_address
3892261,新潟県,妙高市,樽本（１１０１番地）,ニイガタケン,ミョウコウシ,タルモト(1101バンチ),新潟県妙高市樽本（1101-）
9400000,新潟県,長岡市,,ニイガタケン,ナガオカシ,,新潟県長岡市
9400001,新潟県,長岡市,川辺町,ニイガタケン,ナガオカシ,カワベマチ,新潟県長岡市川辺町
9400002,新潟県,長岡市,十二潟町,ニイガタケン,ナガオカシ,ジュウニガタマチ,新潟県長岡市十二潟町
9400003,新潟県,長岡市,高見,ニイガタケン,ナガオカシ,タカミ,新潟県長岡市高見
9400004,新潟県,長岡市,高見町,ニイガタケン,ナガオカシ,タカミマチ,新潟県長岡市高見町
9400006,新潟県,長岡市,東高見,ニイガタケン,ナガオカシ,ヒガシタカミ,新潟県長岡市東高見
9400007,新潟県,長岡市,黒津町,ニイガタケン,ナガオカシ,クロヅマチ,新潟県長岡市黒津町
9400008,新潟県,長岡市,天神町,ニイガタケン,ナガオカシ,テンジンマチ,新潟県長岡市天神町
9400011,新潟県,長岡市,下々条町,ニイガタケン,ナガオカシ,シモゲジョウマチ,新潟県長岡市下々条町
9400012,新潟県,長岡市,下々条,ニイガタケン,ナガオカシ,シモゲジョウ,新潟県長岡市下々条
9400013,新潟県,長岡市,原町,ニイガタケン,ナガオカシ,ハラマチ,新潟県長岡市原町
9400014,新潟県,長岡市,北園町,ニイガタケン,ナガオカシ,キタゾノマチ,新潟県長岡市北園町
9400015,新潟県,長岡市,寿,ニイガタケン,ナガオカシ,コトブキ,新潟県長岡市寿
9400016,新潟県,長岡市,宝,ニイガタケン,ナガオカシ,タカラ,新潟県長岡市宝
9400017,新潟県,長岡市,中瀬,ニイガタケン,ナガオカシ,ナカセ,新潟県長岡市中瀬
9400021,新潟県,長岡市,城岡,ニイガタケン,ナガオカシ,ジョウオカ,新潟県長岡市城岡
9400022,新潟県,長岡市,東新町,ニイガタケン,ナガオカシ,ヒガシアラマチ,新潟県長岡市東新町
9400023,新潟県,長岡市,新町,ニイガタケン,ナガオカシ,アラマチ,新潟県長岡市新町
9400024,新潟県,長岡市,西新町,ニイガタケン,ナガオカシ,ニシアラマチ,新潟県長岡市西新町
9400025,新潟県,長岡市,泉,ニイガタケン,ナガオカシ,イズミ,新潟県長岡市泉
