zipcode,prefecture_name,city,town,prefecture_kana,city_kana,town_kana,normalized_address
4314121,愛知県,北設楽郡豊根村,富山,アイチケン,キタシタラグントヨネムラ,トミヤマ,愛知県北設楽郡豊根村富山
4400001,愛知県,豊橋市,下条西町,アイチケン,トヨハシシ,ゲジョウニシマチ,愛知県豊橋市下条西町
4400002,愛知県,豊橋市,下条東町,アイチケン,トヨハシシ,ゲジョウヒガシマチ,愛知県豊橋市下条東町
4400003,愛知県,豊橋市,浪の上町,アイチケン,トヨハシシ,ナミノウエチョウ,愛知県豊橋市浪の上町
4400004,愛知県,豊橋市,忠興,アイチケン,トヨハシシ,タダコウ,愛知県豊橋市忠興
4400005,愛知県,豊橋市,緑ケ丘,アイチケン,トヨハシシ,ミドリガオカ,愛知県豊橋市緑ケ丘
4400006,愛知県,豊橋市,牛川町（乗小路）,アイチケン,トヨハシシ,ウシカワチョウ(ノリコウジ),愛知県豊橋市牛川町（乗小路）
4400006,愛知県,豊橋市,牛川町（押川）,アイチケン,トヨハシシ,ウシカワチョウ(オシカワ),愛知県豊橋市牛川町（押川）
4400006,愛知県,豊橋市,牛川町（東仲田）,アイチケン,トヨハシシ,ウシカワチョウ(ヒガシナカダ),愛知県豊橋市牛川町（東仲田）
4400006,愛知県,豊橋市,牛川町（池下）,アイチケン,トヨハシシ,ウシカワチョウ(イケシタ),愛知県豊橋市牛川町（池下）
4400006,愛知県,豊橋市,牛川町（西仲田）,アイチケン,トヨハシシ,ウシカワチョウ(ニシナカダ),愛知県豊橋市牛川町（西仲田）
4400011,愛知県,豊橋市,牛川通,アイチケン,トヨハシシ,ウシカワドオリ,愛知県豊橋市牛川通
4400012,愛知県,豊橋市,東小鷹野,アイチケン,トヨハシシ,ヒガシオダカノ,愛知県豊橋市東小鷹野
4400013,愛知県,豊橋市,西小鷹野,アイチケン,トヨハシシ,ニシオダカノ,愛知県豊橋市西小鷹野
4400014,愛知県,豊橋市,南牛川,アイチケン,トヨハシシ,ミナミウシカワ,愛知県豊橋市南牛川
4400015,愛知県,豊橋市,牛川薬師町,アイチケン,トヨハシシ,ウシカワヤクシチョウ,愛知県豊橋市牛川薬師町
4400016,愛知県,豊橋市,牛川町（その他）,アイチケン,トヨハシシ,ウシカワチョウ(ソノタ),愛知県豊橋市牛川町（その他）
4400021,愛知県,豊橋市,多米町,アイチケン,トヨハシシ,タメチョウ,愛知県豊橋市多米町
4400022,愛知県,豊橋市,岩崎町,アイチケン,トヨハシシ,イワサキチョウ,愛知県豊橋市岩崎町
4400023,愛知県,豊橋市,岩田町（影岩）,アイチケン,トヨハシシ,イワタチョウ(カゲイワ),愛知県豊橋市岩田町（影岩）
4400024,愛知県,豊橋市,東田町（井原）,アイチケン,トヨハシシ,アズマダチョウ(イハラ),愛知県豊橋市東田町（井原）
4400025,愛知県,豊橋市,井原町,アイチケン,トヨハシシ,イハラチョウ,愛知県豊橋市井原町
4400026,愛知県,豊橋市,多米西町,アイチケン,トヨハシシ,タメニシマチ,愛知県豊橋市多米西町
4400027,愛知県,豊橋市,多米中町,アイチケン,トヨハシシ,タメナカマチ,愛知県豊橋市多米中町
4400028,愛知県,豊橋市,多米東町,アイチケン,トヨハシシ,タメヒガシマチ,愛知県豊橋市多米東町
4400031,愛知県,豊橋市,北岩田,アイチケン,トヨハシシ,キタイワタ,愛知県豊橋市北岩田
4400032,愛知県,豊橋市,岩田町居村、北郷中,アイチケン,トヨハシシ,イワタチョウイムラ、キタゴウナカ,愛知県豊橋市岩田町居村、北郷中
4400033,愛知県,豊橋市,東岩田,アイチケン,トヨハシシ,ヒガシイワタ,愛知県豊橋市東岩田
4400034,愛知県,豊橋市,豊岡町,アイチケン,トヨハシシ,トヨオカチョウ,愛知県豊橋市豊岡町
4400035,愛知県,豊橋市,平川南町,アイチケン,トヨハシシ,ヒラカワミナミマチ,愛知県豊橋市平川南町
4400036,愛知県,豊橋市,東光町,アイチケン,トヨハシシ,トウコウチョウ,愛知県豊橋市東光町
4400037,愛知県,豊橋市,平川町,アイチケン,トヨハシシ,ヒラカワチョウ,愛知県豊橋市平川町
4400038,愛知県,豊橋市,平川本町,アイチケン,トヨハシシ,ヒラカワホンマチ,愛知県豊橋市平川本町
4400041,愛知県,豊橋市,岩田町宮下、道合,アイチケン,トヨハシシ,イワタチョウミヤシタ、ミチアイ,愛知県豊橋市岩田町宮下、道合
4400042,愛知県,豊橋市,栄町,アイチケン,トヨハシシ,サカエマチ,愛知県豊橋市栄町
4400043,愛知県,豊橋市,朝丘町,アイチケン,トヨハシシ,アサオカチョウ,愛知県豊橋市朝丘町
4400044,愛知県,豊橋市,宮下町,アイチケン,トヨハシシ,ミヤシタチョウ,愛知県豊橋市宮下町
4400045,愛知県,豊橋市,吾妻町,アイチケン,トヨハシシ,アヅマチョウ,愛知県豊橋市吾妻町
4400046,愛知県,豊橋市,仲ノ町,アイチケン,トヨハシシ,ナカノマチ,愛知県豊橋市仲ノ町
4400047,愛知県,豊橋市,東田仲の町,アイチケン,トヨハシシ,アズマダナカノマチ,愛知県豊橋市東田仲の町
4400048,愛知県,豊橋市,東田町（その他）,アイチケン,トヨハシシ,アズマダチョウ(ソノタ),愛知県豊橋市東田町（その他）
4400051,愛知県,豊橋市,東雲町,アイチケン,トヨハシシ,シノノメチョウ,愛知県豊橋市東雲町
4400052,愛知県,豊橋市,住吉町,アイチケン,トヨハシシ,スミヨシチョウ,愛知県豊橋市住吉町
4400053,愛知県,豊橋市,老松町,アイチケン,トヨハシシ,オイマツチョウ,愛知県豊橋市老松町
4400054,愛知県,豊橋市,東田町（北蓮田）,アイチケン,トヨハシシ,アズマダチョウ(キタレンダ),愛知県豊橋市東田町（北蓮田）
4400054,愛知県,豊橋市,東田町（東前山）,アイチケン,トヨハシシ,アズマダチョウ(ヒガシマエヤマ),愛知県豊橋市東田町（東前山）
4400054,愛知県,豊橋市,東田町（西前山）,アイチケン,トヨハシシ,アズマダチョウ(ニシマエヤマ),愛知県豊橋市東田町（西前山）
4400055,愛知県,豊橋市,前畑町,アイチケン,トヨハシシ,マエハタチョウ,愛知県豊橋市前畑町
4400056,愛知県,豊橋市,南旭町,アイチケン,トヨハシシ,ミナミアサヒマチ,愛知県豊橋市南旭町
4400057,愛知県,豊橋市,旭町,アイチケン,トヨハシシ,アサヒマチ,愛知県豊橋市旭町
4400058,愛知県,豊橋市,旭本町,アイチケン,トヨハシシ,アサヒホンマチ,愛知県豊橋市旭本町
4400061,愛知県,豊橋市,飽海町,アイチケン,トヨハシシ,アクミチョウ,愛知県豊橋市飽海町
4400062,愛知県,豊橋市,東田町（中郷）,アイチケン,トヨハシシ,アズマダチョウ(ナカゴウ),愛知県豊橋市東田町（中郷）
4400062,愛知県,豊橋市,東田町（西脇）,アイチケン,トヨハシシ,アズマダチョウ(ニシワキ),愛知県豊橋市東田町（西脇）
4400062,愛知県,豊橋市,東田町（西郷）,アイチケン,トヨハシシ,アズマダチョウ(サイゴウ),愛知県豊橋市東田町（西郷）
4400063,愛知県,豊橋市,東田中郷町,アイチケン,トヨハシシ,アズマダナカゴウチョウ,愛知県豊橋市東田中郷町
4400064,愛知県,豊橋市,西郷町,アイチケン,トヨハシシ,サイゴウチョウ,愛知県豊橋市西郷町
4400065,愛知県,豊橋市,仁連木町,アイチケン,トヨハシシ,ニレンギチョウ,愛知県豊橋市仁連木町
4400066,愛知県,豊橋市,東田町（番地）,アイチケン,トヨハシシ,アズマダチョウ(バンチ),愛知県豊橋市東田町（番地）
4400067,愛知県,豊橋市,上地町,アイチケン,トヨハシシ,ウエジチョウ,愛知県豊橋市上地町
4400068,愛知県,豊橋市,東郷町,アイチケン,トヨハシシ,トウゴウチョウ,愛知県豊橋市東郷町
4400069,愛知県,豊橋市,御園町,アイチケン,トヨハシシ,ミソノチョウ,愛知県豊橋市御園町
4400071,愛知県,豊橋市,北島町,アイチケン,トヨハシシ,キタジマチョウ,愛知県豊橋市北島町
4400072,愛知県,豊橋市,船町,アイチケン,トヨハシシ,フナマチ,愛知県豊橋市船町
4400073,愛知県,豊橋市,湊町,アイチケン,トヨハシシ,ミナトマチ,愛知県豊橋市湊町
4400074,愛知県,豊橋市,上伝馬町,アイチケン,トヨハシシ,カミデンマチョウ,愛知県豊橋市上伝馬町
4400075,愛知県,豊橋市,花田町官有地（無番地を除く）,アイチケン,トヨハシシ,ハナダチョウカンユウチ(ムバンチヲノゾク),愛知県豊橋市花田町官有地（無番地を除く）
4400075,愛知県,豊橋市,花田町西宿（１１０−２、１１０−７、１１０−１０番地を除く）,アイチケン,トヨハシシ,ハナダチョウニシジュク(110-2、110-7、110-10バンチヲノゾク),愛知県豊橋市花田町西宿（110-2、110-7、110-10-を除く）
4400075,愛知県,豊橋市,花田町（無番地）,アイチケン,トヨハシシ,ハナダチョウ(ムバンチ),愛知県豊橋市花田町（無番地）
4400075,愛知県,豊橋市,花田町（石塚）,アイチケン,トヨハシシ,ハナダチョウ(イシヅカ),愛知県豊橋市花田町（石塚）
4400076,愛知県,豊橋市,大橋通,アイチケン,トヨハシシ,オオハシドオリ,愛知県豊橋市大橋通
4400077,愛知県,豊橋市,南島町,アイチケン,トヨハシシ,ミナミジマチョウ,愛知県豊橋市南島町
4400078,愛知県,豊橋市,絹田町,アイチケン,トヨハシシ,キヌタチョウ,愛知県豊橋市絹田町
4400081,愛知県,豊橋市,大村町,アイチケン,トヨハシシ,オオムラチョウ,愛知県豊橋市大村町
4400082,愛知県,豊橋市,長瀬町,アイチケン,トヨハシシ,ナガセチョウ,愛知県豊橋市長瀬町
4400083,愛知県,豊橋市,下地町（五貫）,アイチケン,トヨハシシ,シモジチョウ(ゴカン),愛知県豊橋市下地町（五貫）
4400083,愛知県,豊橋市,下地町（北村）,アイチケン,トヨハシシ,シモジチョウ(キタムラ),愛知県豊橋市下地町（北村）
4400083,愛知県,豊橋市,下地町（境田）,アイチケン,トヨハシシ,シモジチョウ(サカイダ),愛知県豊橋市下地町（境田）
4400083,愛知県,豊橋市,下地町（大圦）,アイチケン,トヨハシシ,シモジチョウ(オオイリ),愛知県豊橋市下地町（大圦）
4400083,愛知県,豊橋市,下地町（天神）,アイチケン,トヨハシシ,シモジチョウ(テンジン),愛知県豊橋市下地町（天神）
4400083,愛知県,豊橋市,下地町（操穴）,アイチケン,トヨハシシ,シモジチョウ(クリアナ),愛知県豊橋市下地町（操穴）
4400083,愛知県,豊橋市,下地町（柳目）,アイチケン,トヨハシシ,シモジチョウ(ヤナメ),愛知県豊橋市下地町（柳目）
4400083,愛知県,豊橋市,下地町（横山）,アイチケン,トヨハシシ,シモジチョウ(ヨコヤマ),愛知県豊橋市下地町（横山）
4400083,愛知県,豊橋市,下地町（若宮）,アイチケン,トヨハシシ,シモジチョウ(ワカミヤ),愛知県豊橋市下地町（若宮）
4400083,愛知県,豊橋市,下地町（野箱）,アイチケン,トヨハシシ,シモジチョウ(ノバコ),愛知県豊橋市下地町（野箱）
4400084,愛知県,豊橋市,下地町（宮腰）,アイチケン,トヨハシシ,シモジチョウ(ミヤコシ),愛知県豊橋市下地町（宮腰）
4400084,愛知県,豊橋市,下地町（瀬上）,アイチケン,トヨハシシ,シモジチョウ(セガミ),愛知県豊橋市下地町（瀬上）
4400084,愛知県,豊橋市,下地町（神田）,アイチケン,トヨハシシ,シモジチョウ(カンダ),愛知県豊橋市下地町（神田）
4400084,愛知県,豊橋市,下地町（緑）,アイチケン,トヨハシシ,シモジチョウ(ミドリ),愛知県豊橋市下地町（緑）
4400085,愛知県,豊橋市,下地町（丁目）,アイチケン,トヨハシシ,シモジチョウ(チョウメ),愛知県豊橋市下地町（丁目）
4400086,愛知県,豊橋市,下地町（その他）,アイチケン,トヨハシシ,シモジチョウ(ソノタ),愛知県豊橋市下地町（その他）
4400091,愛知県,豊橋市,下五井町,アイチケン,トヨハシシ,シモゴイチョウ,愛知県豊橋市下五井町
4400092,愛知県,豊橋市,瓜郷町,アイチケン,トヨハシシ,ウリゴウチョウ,愛知県豊橋市瓜郷町
4400093,愛知県,豊橋市,横須賀町,アイチケン,トヨハシシ,ヨコスカチョウ,愛知県豊橋市横須賀町
4400094,愛知県,豊橋市,川崎町,アイチケン,トヨハシシ,カワサキチョウ,愛知県豊橋市川崎町
4400095,愛知県,豊橋市,清須町,アイチケン,トヨハシシ,キヨスチョウ,愛知県豊橋市清須町
4400801,愛知県,豊橋市,今橋町,アイチケン,トヨハシシ,イマハシチョウ,愛知県豊橋市今橋町
4400802,愛知県,豊橋市,鍛冶町,アイチケン,トヨハシシ,カジマチ,愛知県豊橋市鍛冶町
4400803,愛知県,豊橋市,曲尺手町,アイチケン,トヨハシシ,カネンテチョウ,愛知県豊橋市曲尺手町
4400804,愛知県,豊橋市,呉服町,アイチケン,トヨハシシ,ゴフクマチ,愛知県豊橋市呉服町
4400805,愛知県,豊橋市,大手町,アイチケン,トヨハシシ,オオテマチ,愛知県豊橋市大手町
4400806,愛知県,豊橋市,八町通,アイチケン,トヨハシシ,ハッチョウドオリ,愛知県豊橋市八町通
4400811,愛知県,豊橋市,西新町,アイチケン,トヨハシシ,ニシシンマチ,愛知県豊橋市西新町
