zipcode,prefecture_name,city,town,prefecture_kana,city_kana,town_kana,normalized_address
9000000,沖縄県,那覇市,,オキナワケン,ナハシ,,沖縄県那覇市
9000001,沖縄県,那覇市,港町,オキナワケン,ナハシ,ミナトマチ,沖縄県那覇市港町
9000002,沖縄県,那覇市,曙,オキナワケン,ナハシ,アケボノ,沖縄県那覇市曙
9000003,沖縄県,那覇市,安謝,オキナワケン,ナハシ,アジャ,沖縄県那覇市安謝
9000004,沖縄県,那覇市,銘苅,オキナワケン,ナハシ,メカル,沖縄県那覇市銘苅
9000005,沖縄県,那覇市,天久,オキナワケン,ナハシ,アメク,沖縄県那覇市天久
9000006,沖縄県,那覇市,おもろまち,オキナワケン,ナハシ,オモロマチ,沖縄県那覇市おもろまち
9000011,沖縄県,那覇市,上之屋,オキナワケン,ナハシ,ウエノヤ,沖縄県那覇市上之屋
9000012,沖縄県,那覇市,泊,オキナワケン,ナハシ,トマリ,沖縄県那覇市泊
9000013,沖縄県,那覇市,牧志,オキナワケン,ナハシ,マキシ,沖縄県那覇市牧志
9000014,沖縄県,那覇市,松尾,オキナワケン,ナハシ,マツオ,沖縄県那覇市松尾
9000015,沖縄県,那覇市,久茂地,オキナワケン,ナハシ,クモジ,沖縄県那覇市久茂地
9000016,沖縄県,那覇市,前島,オキナワケン,ナハシ,マエジマ,沖縄県那覇市前島
9000021,沖縄県,那覇市,泉崎,オキナワケン,ナハシ,イズミザキ,沖縄県那覇市泉崎
9000022,沖縄県,那覇市,樋川,オキナワケン,ナハシ,ヒガワ,沖縄県那覇市樋川
9000023,沖縄県,那覇市,楚辺,オキナワケン,ナハシ,ソベ,沖縄県那覇市楚辺
9000024,沖縄県,那覇市,古波蔵,オキナワケン,ナハシ,コハグラ,沖縄県那覇市古波蔵
9000025,沖縄県,那覇市,壺川,オキナワケン,ナハシ,ツボガワ,沖縄県那覇市壺川
9000026,沖縄県,那覇市,奥武山町,オキナワケン,ナハシ,オオノヤマチョウ,沖縄県那覇市奥武山町
9000027,沖縄県,那覇市,山下町,オキナワケン,ナハシ,ヤマシタチョウ,沖縄県那覇市山下町
9000028,沖縄県,那覇市,垣花町,オキナワケン,ナハシ,カキノハナチョウ,沖縄県那覇市垣花町
9000029,沖縄県,那覇市,旭町,オキナワケン,ナハシ,アサヒマチ,沖縄県那覇市旭町
9000031,沖縄県,那覇市,若狭,オキナワケン,ナハシ,ワカサ,沖縄県那覇市若狭
9000032,沖縄県,那覇市,松山,オキナワケン,ナハシ,マツヤマ,沖縄県那覇市松山
9000033,沖縄県,那覇市,久米,オキナワケン,ナハシ,クメ,沖縄県那覇市久米
9000034,沖縄県,那覇市,東町,オキナワケン,ナハシ,ヒガシマチ,沖縄県那覇市東町
9000035,沖縄県,那覇市,通堂町,オキナワケン,ナハシ,トンドウチョウ,沖縄県那覇市通堂町
9000036,沖縄県,那覇市,西,オキナワケン,ナハシ,ニシ,沖縄県那覇市西
9000037,沖縄県,那覇市,辻,オキナワケン,ナハシ,ツジ,沖縄県那覇市辻
9010141,沖縄県,那覇市,住吉町,オキナワケン,ナハシ,スミヨシチョウ,沖縄県那覇市住吉町
9010142,沖縄県,那覇市,鏡水,オキナワケン,ナハシ,カガミズ,沖縄県那覇市鏡水
9010143,沖縄県,那覇市,安次嶺,オキナワケン,ナハシ,アシミネ,沖縄県那覇市安次嶺
9010144,沖縄県,那覇市,当間,オキナワケン,ナハシ,トウマ,沖縄県那覇市当間
9010145,沖縄県,那覇市,高良,オキナワケン,ナハシ,タカラ,沖縄県那覇市高良
9010146,沖縄県,那覇市,具志,オキナワケン,ナハシ,グシ,沖縄県那覇市具志
9010147,沖縄県,那覇市,宮城,オキナワケン,ナハシ,ミヤグスク,沖縄県那覇市宮城
9010148,沖縄県,那覇市,大嶺,オキナワケン,ナハシ,オオミネ,沖縄県那覇市大嶺
9010151,沖縄県,那覇市,鏡原町,オキナワケン,ナハシ,キョウハラチョウ,沖縄県那覇市鏡原町
9010152,沖縄県,那覇市,小禄,オキナワケン,ナハシ,オロク,沖縄県那覇市小禄
9010153,沖縄県,那覇市,宇栄原,オキナワケン,ナハシ,ウエバル,沖縄県那覇市宇栄原
9010154,沖縄県,那覇市,赤嶺,オキナワケン,ナハシ,アカミネ,沖縄県那覇市赤嶺
9010155,沖縄県,那覇市,金城,オキナワケン,ナハシ,カナグスク,沖縄県那覇市金城
9010156,沖縄県,那覇市,田原,オキナワケン,ナハシ,タバル,沖縄県那覇市田原
9010200,沖縄県,豊見城市,,オキナワケン,トミグスクシ,,沖縄県豊見城市
9010201,沖縄県,豊見城市,真玉橋,オキナワケン,トミグスクシ,マダンバシ,沖縄県豊見城市真玉橋
9010202,沖縄県,豊見城市,嘉数,オキナワケン,トミグスクシ,カカズ,沖縄県豊見城市嘉数
9010203,沖縄県,豊見城市,長堂,オキナワケン,トミグスクシ,ナガドウ,沖縄県豊見城市長堂
9010204,沖縄県,豊見城市,金良,オキナワケン,トミグスクシ,カネラ,沖縄県豊見城市金良
9010205,沖縄県,豊見城市,根差部,オキナワケン,トミグスクシ,ネサブ,沖縄県豊見城市根差部
9010211,沖縄県,豊見城市,饒波,オキナワケン,トミグスクシ,ノハ,沖縄県豊見城市饒波
9010212,沖縄県,豊見城市,平良,オキナワケン,トミグスクシ,タイラ,沖縄県豊見城市平良
9010213,沖縄県,豊見城市,高嶺,オキナワケン,トミグスクシ,タカミネ,沖縄県豊見城市高嶺
9010214,沖縄県,豊見城市,保栄茂,オキナワケン,トミグスクシ,ビン,沖縄県豊見城市保栄茂
9010215,沖縄県,豊見城市,渡嘉敷,オキナワケン,トミグスクシ,トカシキ,沖縄県豊見城市渡嘉敷
9010221,沖縄県,豊見城市,座安,オキナワケン,トミグスクシ,ザヤス,沖縄県豊見城市座安
9010222,沖縄県,豊見城市,渡橋名,オキナワケン,トミグスクシ,トハシナ,沖縄県豊見城市渡橋名
9010223,沖縄県,豊見城市,翁長,オキナワケン,トミグスクシ,オナガ,沖縄県豊見城市翁長
9010224,沖縄県,豊見城市,与根,オキナワケン,トミグスクシ,ヨネ,沖縄県豊見城市与根
9010225,沖縄県,豊見城市,豊崎,オキナワケン,トミグスクシ,トヨサキ,沖縄県豊見城市豊崎
9010231,沖縄県,豊見城市,我那覇,オキナワケン,トミグスクシ,ガナハ,沖縄県豊見城市我那覇
9010232,沖縄県,豊見城市,伊良波,オキナワケン,トミグスクシ,イラハ,沖縄県豊見城市伊良波
9010233,沖縄県,豊見城市,瀬長,オキナワケン,トミグスクシ,セナガ,沖縄県豊見城市瀬長
9010234,沖縄県,豊見城市,田頭,オキナワケン,トミグスクシ,タガミ,沖縄県豊見城市田頭
9010235,沖縄県,豊見城市,名嘉地,オキナワケン,トミグスクシ,ナカチ,沖縄県豊見城市名嘉地
9010241,沖縄県,豊見城市,豊見城,オキナワケン,トミグスクシ,トミグスク,沖縄県豊見城市豊見城
9010242,沖縄県,豊見城市,高安,オキナワケン,トミグスクシ,タカヤス,沖縄県豊見城市高安
9010243,沖縄県,豊見城市,上田,オキナワケン,トミグスクシ,ウエタ,沖縄県豊見城市上田
9010244,沖縄県,豊見城市,宜保,オキナワケン,トミグスクシ,ギボ,沖縄県豊見城市宜保
9010300,沖縄県,糸満市,,オキナワケン,イトマンシ,,沖縄県糸満市
9010301,沖縄県,糸満市,阿波根,オキナワケン,イトマンシ,アハゴン,沖縄県糸満市阿波根
9010302,沖縄県,糸満市,潮平,オキナワケン,イトマンシ,シオヒラ,沖縄県糸満市潮平
9010303,沖縄県,糸満市,兼城,オキナワケン,イトマンシ,カネグスク,沖縄県糸満市兼城
9010304,沖縄県,糸満市,西川町,オキナワケン,イトマンシ,ニシカワチョウ,沖縄県糸満市西川町
9010305,沖縄県,糸満市,西崎,オキナワケン,イトマンシ,ニシザキ,沖縄県糸満市西崎
9010306,沖縄県,糸満市,西崎町,オキナワケン,イトマンシ,ニシザキチョウ,沖縄県糸満市西崎町
9010311,沖縄県,糸満市,武富,オキナワケン,イトマンシ,タケトミ,沖縄県糸満市武富
9010312,沖縄県,糸満市,北波平,オキナワケン,イトマンシ,キタナミヒラ,沖縄県糸満市北波平
9010313,沖縄県,糸満市,賀数,オキナワケン,イトマンシ,カカズ,沖縄県糸満市賀数
9010314,沖縄県,糸満市,座波,オキナワケン,イトマンシ,ザハ,沖縄県糸満市座波
9010315,沖縄県,糸満市,照屋,オキナワケン,イトマンシ,テルヤ,沖縄県糸満市照屋
9010321,沖縄県,糸満市,豊原,オキナワケン,イトマンシ,トヨハラ,沖縄県糸満市豊原
9010322,沖縄県,糸満市,与座,オキナワケン,イトマンシ,ヨザ,沖縄県糸満市与座
9010323,沖縄県,糸満市,新垣,オキナワケン,イトマンシ,アラカキ,沖縄県糸満市新垣
9010324,沖縄県,糸満市,国吉,オキナワケン,イトマンシ,クニヨシ,沖縄県糸満市国吉
9010325,沖縄県,糸満市,大里,オキナワケン,イトマンシ,オオザト,沖縄県糸満市大里
9010331,沖縄県,糸満市,真栄平,オキナワケン,イトマンシ,マエヒラ,沖縄県糸満市真栄平
9010332,沖縄県,糸満市,宇江城,オキナワケン,イトマンシ,ウエグスク,沖縄県糸満市宇江城
9010333,沖縄県,糸満市,摩文仁,オキナワケン,イトマンシ,マブニ,沖縄県糸満市摩文仁
9010334,沖縄県,糸満市,大度,オキナワケン,イトマンシ,オオド,沖縄県糸満市大度
9010335,沖縄県,糸満市,米須,オキナワケン,イトマンシ,コメス,沖縄県糸満市米須
9010336,沖縄県,糸満市,真壁,オキナワケン,イトマンシ,マカベ,沖縄県糸満市真壁
9010341,沖縄県,糸満市,小波蔵,オキナワケン,イトマンシ,コハグラ,沖縄県糸満市小波蔵
9010342,沖縄県,糸満市,糸洲,オキナワケン,イトマンシ,イトス,沖縄県糸満市糸洲
9010343,沖縄県,糸満市,南波平,オキナワケン,イトマンシ,ミナミナミヒラ,沖縄県糸満市南波平
9010344,沖縄県,糸満市,伊原,オキナワケン,イトマンシ,イハラ,沖縄県糸満市伊原
9010345,沖縄県,糸満市,福地,オキナワケン,イトマンシ,フクジ,沖縄県糸満市福地
9010351,沖縄県,糸満市,名城,オキナワケン,イトマンシ,ナシロ,沖縄県糸満市名城
9010352,沖縄県,糸満市,山城,オキナワケン,イトマンシ,ヤマグスク,沖縄県糸満市山城
9010353,沖縄県,糸満市,束里,オキナワケン,イトマンシ,ツカザト,沖縄県糸満市束里
9010354,沖縄県,糸満市,喜屋武,オキナワケン,イトマンシ,キャン,沖縄県糸満市喜屋武
9010361,沖縄県,糸満市,糸満,オキナワケン,イトマンシ,イトマン,沖縄県糸満市糸満
9010362,沖縄県,糸満市,真栄里,オキナワケン,イトマンシ,マエザト,沖縄県糸満市真栄里
9010363,沖縄県,糸満市,伊敷,オキナワケン,イトマンシ,イシキ,沖縄県糸満市伊敷
9010364,沖縄県,糸満市,潮崎町,オキナワケン,イトマンシ,シオザキチョウ,沖縄県糸満市潮崎町
9010400,沖縄県,島尻郡八重瀬町,,オキナワケン,シマジリグンヤエセチョウ,,沖縄県島尻郡八重瀬町
9010401,沖縄県,島尻郡八重瀬町,東風平,オキナワケン,シマジリグンヤエセチョウ,コチンダ,沖縄県島尻郡八重瀬町東風平
