zipcode,prefecture_name,city,town,prefecture_kana,city_kana,town_kana,normalized_address
4000000,山梨県,甲府市,,ヤマナシケン,コウフシ,,山梨県甲府市
4000001,山梨県,甲府市,和田町,ヤマナシケン,コウフシ,ワダマチ,山梨県甲府市和田町
4000002,山梨県,甲府市,小松町,ヤマナシケン,コウフシ,コマツマチ,山梨県甲府市小松町
4000003,山梨県,甲府市,塚原町,ヤマナシケン,コウフシ,ツカハラチョウ,山梨県甲府市塚原町
4000004,山梨県,甲府市,西田町,ヤマナシケン,コウフシ,ニシダチョウ,山梨県甲府市西田町
4000005,山梨県,甲府市,北新,ヤマナシケン,コウフシ,キタシン,山梨県甲府市北新
4000006,山梨県,甲府市,天神町,ヤマナシケン,コウフシ,テンジンチョウ,山梨県甲府市天神町
4000007,山梨県,甲府市,美咲,ヤマナシケン,コウフシ,ミサキ,山梨県甲府市美咲
4000008,山梨県,甲府市,緑が丘,ヤマナシケン,コウフシ,ミドリガオカ,山梨県甲府市緑が丘
4000011,山梨県,甲府市,上積翠寺町,ヤマナシケン,コウフシ,カミセキスイジマチ,山梨県甲府市上積翠寺町
4000012,山梨県,甲府市,下積翠寺町,ヤマナシケン,コウフシ,シモセキスイジマチ,山梨県甲府市下積翠寺町
4000013,山梨県,甲府市,岩窪町,ヤマナシケン,コウフシ,イワクボチョウ,山梨県甲府市岩窪町
4000014,山梨県,甲府市,古府中町,ヤマナシケン,コウフシ,コフチュウマチ,山梨県甲府市古府中町
4000015,山梨県,甲府市,大手,ヤマナシケン,コウフシ,オオテ,山梨県甲府市大手
4000016,山梨県,甲府市,武田,ヤマナシケン,コウフシ,タケダ,山梨県甲府市武田
4000017,山梨県,甲府市,屋形,ヤマナシケン,コウフシ,ヤカタ,山梨県甲府市屋形
4000021,山梨県,甲府市,宮前町,ヤマナシケン,コウフシ,ミヤマエチョウ,山梨県甲府市宮前町
4000022,山梨県,甲府市,元紺屋町,ヤマナシケン,コウフシ,モトコンヤマチ,山梨県甲府市元紺屋町
4000023,山梨県,甲府市,愛宕町,ヤマナシケン,コウフシ,アタゴマチ,山梨県甲府市愛宕町
4000024,山梨県,甲府市,北口,ヤマナシケン,コウフシ,キタグチ,山梨県甲府市北口
4000025,山梨県,甲府市,朝日,ヤマナシケン,コウフシ,アサヒ,山梨県甲府市朝日
4000026,山梨県,甲府市,塩部,ヤマナシケン,コウフシ,シオベ,山梨県甲府市塩部
4000027,山梨県,甲府市,富士見,ヤマナシケン,コウフシ,フジミ,山梨県甲府市富士見
4000028,山梨県,甲府市,音羽町,ヤマナシケン,コウフシ,オトワチョウ,山梨県甲府市音羽町
4000031,山梨県,甲府市,丸の内,ヤマナシケン,コウフシ,マルノウチ,山梨県甲府市丸の内
4000032,山梨県,甲府市,中央,ヤマナシケン,コウフシ,チュウオウ,山梨県甲府市中央
4000033,山梨県,甲府市,寿町,ヤマナシケン,コウフシ,コトブキチョウ,山梨県甲府市寿町
4000034,山梨県,甲府市,宝,ヤマナシケン,コウフシ,タカラ,山梨県甲府市宝
4000035,山梨県,甲府市,飯田,ヤマナシケン,コウフシ,イイダ,山梨県甲府市飯田
4000041,山梨県,甲府市,上石田,ヤマナシケン,コウフシ,カミイシダ,山梨県甲府市上石田
4000042,山梨県,甲府市,高畑,ヤマナシケン,コウフシ,タカバタケ,山梨県甲府市高畑
4000043,山梨県,甲府市,国母,ヤマナシケン,コウフシ,コクボ,山梨県甲府市国母
4000044,山梨県,甲府市,上小河原町,ヤマナシケン,コウフシ,カミコガワラチョウ,山梨県甲府市上小河原町
4000045,山梨県,甲府市,後屋町,ヤマナシケン,コウフシ,ウシロヤチョウ,山梨県甲府市後屋町
4000046,山梨県,甲府市,下石田,ヤマナシケン,コウフシ,シモイシダ,山梨県甲府市下石田
4000047,山梨県,甲府市,徳行,ヤマナシケン,コウフシ,トクギョウ,山梨県甲府市徳行
4000048,山梨県,甲府市,貢川本町,ヤマナシケン,コウフシ,クガワホンチョウ,山梨県甲府市貢川本町
4000049,山梨県,甲府市,富竹,ヤマナシケン,コウフシ,トミタケ,山梨県甲府市富竹
4000051,山梨県,甲府市,古上条町,ヤマナシケン,コウフシ,フルカミジョウマチ,山梨県甲府市古上条町
4000052,山梨県,甲府市,上条新居町,ヤマナシケン,コウフシ,カミジョウアライマチ,山梨県甲府市上条新居町
4000053,山梨県,甲府市,大里町,ヤマナシケン,コウフシ,オオサトチョウ,山梨県甲府市大里町
4000054,山梨県,甲府市,西下条町,ヤマナシケン,コウフシ,ニシシモジョウマチ,山梨県甲府市西下条町
4000055,山梨県,甲府市,大津町,ヤマナシケン,コウフシ,オオツマチ,山梨県甲府市大津町
4000056,山梨県,甲府市,堀之内町,ヤマナシケン,コウフシ,ホリノウチチョウ,山梨県甲府市堀之内町
4000057,山梨県,甲府市,高室町,ヤマナシケン,コウフシ,タカムロチョウ,山梨県甲府市高室町
4000058,山梨県,甲府市,宮原町,ヤマナシケン,コウフシ,ミヤバラチョウ,山梨県甲府市宮原町
4000061,山梨県,甲府市,荒川,ヤマナシケン,コウフシ,アラカワ,山梨県甲府市荒川
