zipcode,prefecture_name,city,town,prefecture_kana,city_kana,town_kana,normalized_address
3700000,群馬県,高崎市,,グンマケン,タカサキシ,,群馬県高崎市
3700001,群馬県,高崎市,中尾町,グンマケン,タカサキシ,ナカオマチ,群馬県高崎市中尾町
3700002,群馬県,高崎市,日高町,グンマケン,タカサキシ,ヒダカマチ,群馬県高崎市日高町
3700003,群馬県,高崎市,新保田中町,グンマケン,タカサキシ,シンボタナカマチ,群馬県高崎市新保田中町
3700004,群馬県,高崎市,井野町,グンマケン,タカサキシ,イノマチ,群馬県高崎市井野町
3700005,群馬県,高崎市,浜尻町,グンマケン,タカサキシ,ハマジリマチ,群馬県高崎市浜尻町
3700006,群馬県,高崎市,問屋町,グンマケン,タカサキシ,トンヤマチ,群馬県高崎市問屋町
3700007,群馬県,高崎市,問屋町西,グンマケン,タカサキシ,トンヤマチニシ,群馬県高崎市問屋町西
3700008,群馬県,高崎市,正観寺町,グンマケン,タカサキシ,ショウカンジマチ,群馬県高崎市正観寺町
3700011,群馬県,高崎市,京目町,グンマケン,タカサキシ,キョウメマチ,群馬県高崎市京目町
3700012,群馬県,高崎市,大沢町,グンマケン,タカサキシ,オオサワマチ,群馬県高崎市大沢町
3700013,群馬県,高崎市,萩原町,グンマケン,タカサキシ,ハギワラマチ,群馬県高崎市萩原町
3700014,群馬県,高崎市,元島名町,グンマケン,タカサキシ,モトシマナマチ,群馬県高崎市元島名町
3700015,群馬県,高崎市,島野町,グンマケン,タカサキシ,シマノマチ,群馬県高崎市島野町
3700016,群馬県,高崎市,矢島町,グンマケン,タカサキシ,ヤジママチ,群馬県高崎市矢島町
3700017,群馬県,高崎市,西島町,グンマケン,タカサキシ,ニシジママチ,群馬県高崎市西島町
3700018,群馬県,高崎市,新保町,グンマケン,タカサキシ,シンボマチ,群馬県高崎市新保町
3700021,群馬県,高崎市,西横手町,グンマケン,タカサキシ,ニシヨコテマチ,群馬県高崎市西横手町
3700022,群馬県,高崎市,宿横手町,グンマケン,タカサキシ,シュクヨコテマチ,群馬県高崎市宿横手町
3700023,群馬県,高崎市,中島町,グンマケン,タカサキシ,ナカジママチ,群馬県高崎市中島町
3700024,群馬県,高崎市,八幡原町,グンマケン,タカサキシ,ヤワタバラマチ,群馬県高崎市八幡原町
3700025,群馬県,高崎市,下斉田町,グンマケン,タカサキシ,シモサイダマチ,群馬県高崎市下斉田町
3700026,群馬県,高崎市,下滝町,グンマケン,タカサキシ,シモタキマチ,群馬県高崎市下滝町
3700027,群馬県,高崎市,上滝町,グンマケン,タカサキシ,カミタキマチ,群馬県高崎市上滝町
3700031,群馬県,高崎市,上大類町,グンマケン,タカサキシ,カミオオルイマチ,群馬県高崎市上大類町
3700032,群馬県,高崎市,宿大類町,グンマケン,タカサキシ,シュクオオルイマチ,群馬県高崎市宿大類町
3700033,群馬県,高崎市,中大類町,グンマケン,タカサキシ,ナカオオルイマチ,群馬県高崎市中大類町
3700034,群馬県,高崎市,下大類町,グンマケン,タカサキシ,シモオオルイマチ,群馬県高崎市下大類町
3700035,群馬県,高崎市,柴崎町,グンマケン,タカサキシ,シバサキマチ,群馬県高崎市柴崎町
3700036,群馬県,高崎市,南大類町,グンマケン,タカサキシ,ミナミオオルイマチ,群馬県高崎市南大類町
3700041,群馬県,高崎市,東貝沢町,グンマケン,タカサキシ,ヒガシカイザワマチ,群馬県高崎市東貝沢町
3700042,群馬県,高崎市,貝沢町,グンマケン,タカサキシ,カイザワマチ,群馬県高崎市貝沢町
3700043,群馬県,高崎市,高関町,グンマケン,タカサキシ,タカゼキマチ,群馬県高崎市高関町
3700044,群馬県,高崎市,岩押町,グンマケン,タカサキシ,イワオシマチ,群馬県高崎市岩押町
3700045,群馬県,高崎市,東町,グンマケン,タカサキシ,アズマチョウ,群馬県高崎市東町
3700046,群馬県,高崎市,江木町,グンマケン,タカサキシ,エギマチ,群馬県高崎市江木町
3700047,群馬県,高崎市,高砂町,グンマケン,タカサキシ,タカサゴチョウ,群馬県高崎市高砂町
3700048,群馬県,高崎市,日光町,グンマケン,タカサキシ,ニッコウチョウ,群馬県高崎市日光町
3700051,群馬県,高崎市,弓町,グンマケン,タカサキシ,ユミチョウ,群馬県高崎市弓町
3700052,群馬県,高崎市,旭町,グンマケン,タカサキシ,アサヒチョウ,群馬県高崎市旭町
3700053,群馬県,高崎市,通町,グンマケン,タカサキシ,トオリマチ,群馬県高崎市通町
3700054,群馬県,高崎市,真町,グンマケン,タカサキシ,シンチョウ,群馬県高崎市真町
3700055,群馬県,高崎市,羅漢町,グンマケン,タカサキシ,ラカンチョウ,群馬県高崎市羅漢町
3700056,群馬県,高崎市,北通町,グンマケン,タカサキシ,キタトオリマチ,群馬県高崎市北通町
3700057,群馬県,高崎市,元紺屋町,グンマケン,タカサキシ,モトコンヤマチ,群馬県高崎市元紺屋町
3700058,群馬県,高崎市,九蔵町,グンマケン,タカサキシ,クゾウマチ,群馬県高崎市九蔵町
3700059,群馬県,高崎市,椿町,グンマケン,タカサキシ,ツバキチョウ,群馬県高崎市椿町
3700061,群馬県,高崎市,天神町,グンマケン,タカサキシ,テンジンチョウ,群馬県高崎市天神町
3700062,群馬県,高崎市,稲荷町,グンマケン,タカサキシ,イナリチョウ,群馬県高崎市稲荷町
3700063,群馬県,高崎市,飯玉町,グンマケン,タカサキシ,イイダママチ,群馬県高崎市飯玉町
3700064,群馬県,高崎市,芝塚町,グンマケン,タカサキシ,シバヅカマチ,群馬県高崎市芝塚町
3700065,群馬県,高崎市,末広町,グンマケン,タカサキシ,スエヒロチョウ,群馬県高崎市末広町
3700066,群馬県,高崎市,山田町,グンマケン,タカサキシ,ヤマダチョウ,群馬県高崎市山田町
3700067,群馬県,高崎市,請地町,グンマケン,タカサキシ,ウケチマチ,群馬県高崎市請地町
3700068,群馬県,高崎市,昭和町,グンマケン,タカサキシ,ショウワマチ,群馬県高崎市昭和町
3700069,群馬県,高崎市,飯塚町,グンマケン,タカサキシ,イイヅカマチ,群馬県高崎市飯塚町
3700071,群馬県,高崎市,小八木町,グンマケン,タカサキシ,コヤギマチ,群馬県高崎市小八木町
3700072,群馬県,高崎市,大八木町,グンマケン,タカサキシ,オオヤギマチ,群馬県高崎市大八木町
3700073,群馬県,高崎市,緑町,グンマケン,タカサキシ,ミドリチョウ,群馬県高崎市緑町
3700074,群馬県,高崎市,下小鳥町,グンマケン,タカサキシ,シモコトリマチ,群馬県高崎市下小鳥町
3700075,群馬県,高崎市,筑縄町,グンマケン,タカサキシ,ツクナワマチ,群馬県高崎市筑縄町
3700076,群馬県,高崎市,下小塙町,グンマケン,タカサキシ,シモコバナマチ,群馬県高崎市下小塙町
3700077,群馬県,高崎市,上小塙町,グンマケン,タカサキシ,カミコバナマチ,群馬県高崎市上小塙町
3700078,群馬県,高崎市,上小鳥町,グンマケン,タカサキシ,カミコトリマチ,群馬県高崎市上小鳥町
3700081,群馬県,高崎市,浜川町,グンマケン,タカサキシ,ハマガワマチ,群馬県高崎市浜川町
3700082,群馬県,高崎市,北新波町,グンマケン,タカサキシ,キタアラナミマチ,群馬県高崎市北新波町
3700083,群馬県,高崎市,南新波町,グンマケン,タカサキシ,ミナミアラナミマチ,群馬県高崎市南新波町
3700084,群馬県,高崎市,菊地町,グンマケン,タカサキシ,キクヂマチ,群馬県高崎市菊地町
3700085,群馬県,高崎市,我峰町,グンマケン,タカサキシ,ワガミネマチ,群馬県高崎市我峰町
3700086,群馬県,高崎市,沖町,グンマケン,タカサキシ,オキマチ,群馬県高崎市沖町
3700087,群馬県,高崎市,楽間町,グンマケン,タカサキシ,ラクママチ,群馬県高崎市楽間町
3700088,群馬県,高崎市,行力町,グンマケン,タカサキシ,ギョウリキマチ,群馬県高崎市行力町
3700101,群馬県,伊勢崎市,境東新井,グンマケン,イセサキシ,サカイヒガシアライ,群馬県伊勢崎市境東新井
3700102,群馬県,伊勢崎市,境上渕名,グンマケン,イセサキシ,サカイカミフチナ,群馬県伊勢崎市境上渕名
3700103,群馬県,伊勢崎市,境下渕名,グンマケン,イセサキシ,サカイシモフチナ,群馬県伊勢崎市境下渕名
3700104,群馬県,伊勢崎市,境木島,グンマケン,イセサキシ,サカイキジマ,群馬県伊勢崎市境木島
3700105,群馬県,伊勢崎市,境伊与久,グンマケン,イセサキシ,サカイイヨク,群馬県伊勢崎市境伊与久
3700111,群馬県,伊勢崎市,境上矢島,グンマケン,イセサキシ,サカイカミヤジマ,群馬県伊勢崎市境上矢島
3700112,群馬県,伊勢崎市,境西今井,グンマケン,イセサキシ,サカイニシイマイ,群馬県伊勢崎市境西今井
