zipcode,prefecture_name,city,town,prefecture_kana,city_kana,town_kana,normalized_address
7600000,香川県,高松市,,カガワケン,タカマツシ,,香川県高松市
7600001,香川県,高松市,新北町,カガワケン,タカマツシ,シンキタマチ,香川県高松市新北町
7600002,香川県,高松市,茜町,カガワケン,タカマツシ,アカネチョウ,香川県高松市茜町
7600003,香川県,高松市,西町,カガワケン,タカマツシ,ニシマチ,香川県高松市西町
7600004,香川県,高松市,西宝町,カガワケン,タカマツシ,サイホウチョウ,香川県高松市西宝町
7600005,香川県,高松市,宮脇町,カガワケン,タカマツシ,ミヤワキチョウ,香川県高松市宮脇町
7600006,香川県,高松市,亀岡町,カガワケン,タカマツシ,カメオカチョウ,香川県高松市亀岡町
7600007,香川県,高松市,中央町,カガワケン,タカマツシ,チュウオウチョウ,香川県高松市中央町
7600008,香川県,高松市,中野町,カガワケン,タカマツシ,ナカノチョウ,香川県高松市中野町
7600009,香川県,高松市,峰山町,カガワケン,タカマツシ,ミネヤマチョウ,香川県高松市峰山町
7600011,香川県,高松市,浜ノ町,カガワケン,タカマツシ,ハマノチョウ,香川県高松市浜ノ町
7600012,香川県,高松市,瀬戸内町,カガワケン,タカマツシ,セトウチチョウ,香川県高松市瀬戸内町
7600013,香川県,高松市,扇町,カガワケン,タカマツシ,オウギマチ,香川県高松市扇町
7600014,香川県,高松市,昭和町,カガワケン,タカマツシ,ショウワチョウ,香川県高松市昭和町
7600015,香川県,高松市,紫雲町,カガワケン,タカマツシ,シウンチョウ,香川県高松市紫雲町
7600016,香川県,高松市,幸町,カガワケン,タカマツシ,サイワイチョウ,香川県高松市幸町
7600017,香川県,高松市,番町,カガワケン,タカマツシ,バンチョウ,香川県高松市番町
7600018,香川県,高松市,天神前,カガワケン,タカマツシ,テンジンマエ,香川県高松市天神前
7600019,香川県,高松市,サンポート,カガワケン,タカマツシ,サンポート,香川県高松市サンポート
7600020,香川県,高松市,錦町,カガワケン,タカマツシ,ニシキマチ,香川県高松市錦町
7600021,香川県,高松市,西の丸町,カガワケン,タカマツシ,ニシノマルチョウ,香川県高松市西の丸町
7600022,香川県,高松市,西内町,カガワケン,タカマツシ,ニシウチマチ,香川県高松市西内町
7600023,香川県,高松市,寿町,カガワケン,タカマツシ,コトブキチョウ,香川県高松市寿町
7600024,香川県,高松市,兵庫町,カガワケン,タカマツシ,ヒョウゴマチ,香川県高松市兵庫町
