zipcode,prefecture_name,city,town,prefecture_kana,city_kana,town_kana,normalized_address
9200000,石川県,金沢市,,イシカワケン,カナザワシ,,石川県金沢市
9200001,石川県,金沢市,千木町,イシカワケン,カナザワシ,セギマチ,石川県金沢市千木町
9200002,石川県,金沢市,千木,イシカワケン,カナザワシ,セギ,石川県金沢市千木
9200003,石川県,金沢市,疋田,イシカワケン,カナザワシ,ヒキダ,石川県金沢市疋田
9200004,石川県,金沢市,疋田町,イシカワケン,カナザワシ,ヒキダマチ,石川県金沢市疋田町
9200005,石川県,金沢市,高柳町,イシカワケン,カナザワシ,タカヤナギマチ,石川県金沢市高柳町
9200006,石川県,金沢市,宮保町,イシカワケン,カナザワシ,ミヤボマチ,石川県金沢市宮保町
9200007,石川県,金沢市,田中町,イシカワケン,カナザワシ,タナカマチ,石川県金沢市田中町
9200008,石川県,金沢市,今昭町,イシカワケン,カナザワシ,イマショウマチ,石川県金沢市今昭町
9200011,石川県,金沢市,松寺町,イシカワケン,カナザワシ,マツデラマチ,石川県金沢市松寺町
9200012,石川県,金沢市,磯部町,イシカワケン,カナザワシ,イソベマチ,石川県金沢市磯部町
9200013,石川県,金沢市,沖町,イシカワケン,カナザワシ,オキマチ,石川県金沢市沖町
9200014,石川県,金沢市,諸江町,イシカワケン,カナザワシ,モロエマチ,石川県金沢市諸江町
9200015,石川県,金沢市,諸江町（上丁）,イシカワケン,カナザワシ,モロエマチ(カミチョウ),石川県金沢市諸江町（上丁）
9200016,石川県,金沢市,諸江町（中丁）,イシカワケン,カナザワシ,モロエマチ(ナカチョウ),石川県金沢市諸江町（中丁）
9200017,石川県,金沢市,諸江町（下丁）,イシカワケン,カナザワシ,モロエマチ(シモチョウ),石川県金沢市諸江町（下丁）
9200018,石川県,金沢市,三口町,イシカワケン,カナザワシ,ミツクチマチ,石川県金沢市三口町
9200021,石川県,金沢市,七ツ屋町,イシカワケン,カナザワシ,ナナツヤマチ,石川県金沢市七ツ屋町
9200022,石川県,金沢市,北安江,イシカワケン,カナザワシ,キタヤスエ,石川県金沢市北安江
9200023,石川県,金沢市,北安江町,イシカワケン,カナザワシ,キタヤスエチョウ,石川県金沢市北安江町
9200024,石川県,金沢市,西念,イシカワケン,カナザワシ,サイネン,石川県金沢市西念
9200025,石川県,金沢市,駅西本町,イシカワケン,カナザワシ,エキニシホンマチ,石川県金沢市駅西本町
9200026,石川県,金沢市,西念町,イシカワケン,カナザワシ,サイネンマチ,石川県金沢市西念町
9200027,石川県,金沢市,駅西新町,イシカワケン,カナザワシ,エキニシシンマチ,石川県金沢市駅西新町
9200031,石川県,金沢市,広岡,イシカワケン,カナザワシ,ヒロオカ,石川県金沢市広岡
9200032,石川県,金沢市,広岡町,イシカワケン,カナザワシ,ヒロオカマチ,石川県金沢市広岡町
9200033,石川県,金沢市,日吉町,イシカワケン,カナザワシ,ヒヨシマチ,石川県金沢市日吉町
9200034,石川県,金沢市,醒ケ井町,イシカワケン,カナザワシ,サメガイチョウ,石川県金沢市醒ケ井町
9200035,石川県,金沢市,中橋町,イシカワケン,カナザワシ,ナカバシマチ,石川県金沢市中橋町
9200036,石川県,金沢市,元菊町,イシカワケン,カナザワシ,モトギクチョウ,石川県金沢市元菊町
9200041,石川県,金沢市,長田本町,イシカワケン,カナザワシ,ナガタホンマチ,石川県金沢市長田本町
9200042,石川県,金沢市,長田町,イシカワケン,カナザワシ,ナガタマチ,石川県金沢市長田町
9200043,石川県,金沢市,長田,イシカワケン,カナザワシ,ナガタ,石川県金沢市長田
9200044,石川県,金沢市,南広岡町,イシカワケン,カナザワシ,ミナミヒロオカマチ,石川県金沢市南広岡町
9200045,石川県,金沢市,向中町,イシカワケン,カナザワシ,ムコウナカマチ,石川県金沢市向中町
9200046,石川県,金沢市,大和町,イシカワケン,カナザワシ,ダイワマチ,石川県金沢市大和町
9200047,石川県,金沢市,大豆田本町（その他）,イシカワケン,カナザワシ,マメダホンマチ(ソノタ),石川県金沢市大豆田本町（その他）
9200051,石川県,金沢市,二口町,イシカワケン,カナザワシ,フタクチマチ,石川県金沢市二口町
9200052,石川県,金沢市,薬師堂町,イシカワケン,カナザワシ,ヤクシドウマチ,石川県金沢市薬師堂町
9200053,石川県,金沢市,若宮町,イシカワケン,カナザワシ,ワカミヤマチ,石川県金沢市若宮町
9200054,石川県,金沢市,若宮,イシカワケン,カナザワシ,ワカミヤ,石川県金沢市若宮
9200055,石川県,金沢市,北町,イシカワケン,カナザワシ,キタマチ,石川県金沢市北町
9200056,石川県,金沢市,出雲町,イシカワケン,カナザワシ,イズモマチ,石川県金沢市出雲町
9200057,石川県,金沢市,桜田町,イシカワケン,カナザワシ,サクラダマチ,石川県金沢市桜田町
9200058,石川県,金沢市,示野中町,イシカワケン,カナザワシ,シメノナカマチ,石川県金沢市示野中町
9200059,石川県,金沢市,示野町,イシカワケン,カナザワシ,シメノマチ,石川県金沢市示野町
9200061,石川県,金沢市,問屋町,イシカワケン,カナザワシ,トイヤマチ,石川県金沢市問屋町
9200062,石川県,金沢市,割出町,イシカワケン,カナザワシ,ワリダシマチ,石川県金沢市割出町
9200063,石川県,金沢市,三浦町,イシカワケン,カナザワシ,ミウラマチ,石川県金沢市三浦町
9200064,石川県,金沢市,南新保町,イシカワケン,カナザワシ,ミナミシンボマチ,石川県金沢市南新保町
9200065,石川県,金沢市,二ツ屋町,イシカワケン,カナザワシ,フタツヤマチ,石川県金沢市二ツ屋町
9200067,石川県,金沢市,二宮町,イシカワケン,カナザワシ,ニノミヤマチ,石川県金沢市二宮町
9200068,石川県,金沢市,戸板,イシカワケン,カナザワシ,トイタ,石川県金沢市戸板
9200069,石川県,金沢市,戸板西,イシカワケン,カナザワシ,トイタニシ,石川県金沢市戸板西
9200101,石川県,金沢市,利屋町,イシカワケン,カナザワシ,トギヤマチ,石川県金沢市利屋町
9200102,石川県,金沢市,岸川町,イシカワケン,カナザワシ,キシガワマチ,石川県金沢市岸川町
9200103,石川県,金沢市,花園八幡町,イシカワケン,カナザワシ,ハナゾノヤワタマチ,石川県金沢市花園八幡町
9200104,石川県,金沢市,四坊町,イシカワケン,カナザワシ,シボウマチ,石川県金沢市四坊町
9200104,石川県,金沢市,四坊高坂町,イシカワケン,カナザワシ,シボウタカサカマチ,石川県金沢市四坊高坂町
9200105,石川県,金沢市,月影町,イシカワケン,カナザワシ,ツキカゲマチ,石川県金沢市月影町
9200106,石川県,金沢市,今町,イシカワケン,カナザワシ,イママチ,石川県金沢市今町
9200107,石川県,金沢市,二日市町,イシカワケン,カナザワシ,フツカイチマチ,石川県金沢市二日市町
9200111,石川県,金沢市,浅丘町,イシカワケン,カナザワシ,アサオカマチ,石川県金沢市浅丘町
9200112,石川県,金沢市,榎尾町,イシカワケン,カナザワシ,エノキオマチ,石川県金沢市榎尾町
9200113,石川県,金沢市,俵原町,イシカワケン,カナザワシ,タラワラマチ,石川県金沢市俵原町
9200114,石川県,金沢市,加賀朝日町,イシカワケン,カナザワシ,カガアサヒマチ,石川県金沢市加賀朝日町
9200115,石川県,金沢市,千杉町,イシカワケン,カナザワシ,センノスギマチ,石川県金沢市千杉町
9200116,石川県,金沢市,地代町,イシカワケン,カナザワシ,ジダイマチ,石川県金沢市地代町
9200121,石川県,金沢市,琴町,イシカワケン,カナザワシ,コトマチ,石川県金沢市琴町
9200122,石川県,金沢市,上平町,イシカワケン,カナザワシ,ウワダイラマチ,石川県金沢市上平町
9200123,石川県,金沢市,滝下町,イシカワケン,カナザワシ,タキシタマチ,石川県金沢市滝下町
9200124,石川県,金沢市,中尾町,イシカワケン,カナザワシ,ナカオマチ,石川県金沢市中尾町
9200125,石川県,金沢市,今泉町,イシカワケン,カナザワシ,イマイズミマチ,石川県金沢市今泉町
9200126,石川県,金沢市,朝日牧町,イシカワケン,カナザワシ,アサヒマキマチ,石川県金沢市朝日牧町
9200127,石川県,金沢市,南千谷町,イシカワケン,カナザワシ,ミナミセンゴクマチ,石川県金沢市南千谷町
9200128,石川県,金沢市,北千石町,イシカワケン,カナザワシ,キタセンゴクマチ,石川県金沢市北千石町
9200129,石川県,金沢市,琴坂町,イシカワケン,カナザワシ,コトサカマチ,石川県金沢市琴坂町
9200131,石川県,金沢市,東原町,イシカワケン,カナザワシ,ヒガシハラマチ,石川県金沢市東原町
9200132,石川県,金沢市,清水谷町,イシカワケン,カナザワシ,シミズダニマチ,石川県金沢市清水谷町
9200133,石川県,金沢市,堀切町,イシカワケン,カナザワシ,ホリキリマチ,石川県金沢市堀切町
9200134,石川県,金沢市,曲子原町,イシカワケン,カナザワシ,マゲシハラマチ,石川県金沢市曲子原町
9200135,石川県,金沢市,土子原町,イシカワケン,カナザワシ,ツチコハラマチ,石川県金沢市土子原町
9200136,石川県,金沢市,松根町,イシカワケン,カナザワシ,マツネマチ,石川県金沢市松根町
9200137,石川県,金沢市,竹又町,イシカワケン,カナザワシ,タケマタマチ,石川県金沢市竹又町
9200141,石川県,金沢市,直江野町,イシカワケン,カナザワシ,ナオエノマチ,石川県金沢市直江野町
9200142,石川県,金沢市,納年町,イシカワケン,カナザワシ,ノウネンマチ,石川県金沢市納年町
9200143,石川県,金沢市,北方町,イシカワケン,カナザワシ,キタガタマチ,石川県金沢市北方町
9200144,石川県,金沢市,小嶺町,イシカワケン,カナザワシ,コミネマチ,石川県金沢市小嶺町
9200145,石川県,金沢市,市瀬町,イシカワケン,カナザワシ,イチノセマチ,石川県金沢市市瀬町
9200146,石川県,金沢市,柚木町,イシカワケン,カナザワシ,ユノキマチ,石川県金沢市柚木町
9200147,石川県,金沢市,不室町,イシカワケン,カナザワシ,フムロマチ,石川県金沢市不室町
9200148,石川県,金沢市,牧山町,イシカワケン,カナザワシ,マキヤママチ,石川県金沢市牧山町
9200151,石川県,金沢市,梨木町,イシカワケン,カナザワシ,ナシノキマチ,石川県金沢市梨木町
9200152,石川県,金沢市,鳴瀬元町,イシカワケン,カナザワシ,ナラセモトマチ,石川県金沢市鳴瀬元町
9200153,石川県,金沢市,宮野町,イシカワケン,カナザワシ,ミヤノマチ,石川県金沢市宮野町
9200154,石川県,金沢市,正部町,イシカワケン,カナザワシ,ショウブマチ,石川県金沢市正部町
9200155,石川県,金沢市,高坂町,イシカワケン,カナザワシ,タカサカマチ,石川県金沢市高坂町
