zipcode,prefecture_name,city,town,prefecture_kana,city_kana,town_kana,normalized_address
9100001,福井県,福井市,大願寺,フクイケン,フクイシ,ダイガンジ,福井県福井市大願寺
9100002,福井県,福井市,町屋,フクイケン,フクイシ,マチヤ,福井県福井市町屋
9100003,福井県,福井市,松本,フクイケン,フクイシ,マツモト,福井県福井市松本
9100004,福井県,福井市,宝永,フクイケン,フクイシ,ホウエイ,福井県福井市宝永
9100005,福井県,福井市,大手,フクイケン,フクイシ,オオテ,福井県福井市大手
9100006,福井県,福井市,中央,フクイケン,フクイシ,チュウオウ,福井県福井市中央
9100011,福井県,福井市,経田,フクイケン,フクイシ,キョウデン,福井県福井市経田
9100012,福井県,福井市,経栄,フクイケン,フクイシ,キョウエイ,福井県福井市経栄
9100013,福井県,福井市,幾代,フクイケン,フクイシ,イクヨ,福井県福井市幾代
9100014,福井県,福井市,幾久町,フクイケン,フクイシ,イクヒサチョウ,福井県福井市幾久町
9100015,福井県,福井市,二の宮,フクイケン,フクイシ,ニノミヤ,福井県福井市二の宮
9100016,福井県,福井市,大宮,フクイケン,フクイシ,オオミヤ,福井県福井市大宮
9100017,福井県,福井市,文京,フクイケン,フクイシ,ブンキョウ,福井県福井市文京
9100018,福井県,福井市,田原,フクイケン,フクイシ,タワラ,福井県福井市田原
9100019,福井県,福井市,春山,フクイケン,フクイシ,ハルヤマ,福井県福井市春山
9100021,福井県,福井市,乾徳,フクイケン,フクイシ,ケントク,福井県福井市乾徳
9100022,福井県,福井市,花月,フクイケン,フクイシ,カゲツ,福井県福井市花月
9100023,福井県,福井市,順化,フクイケン,フクイシ,ジュンカ,福井県福井市順化
9100024,福井県,福井市,照手,フクイケン,フクイシ,テルテ,福井県福井市照手
9100025,福井県,福井市,照手町,フクイケン,フクイシ,テルテチョウ,福井県福井市照手町
9100026,福井県,福井市,光陽,フクイケン,フクイシ,コウヨウ,福井県福井市光陽
9100027,福井県,福井市,豊岡,フクイケン,フクイシ,トヨオカ,福井県福井市豊岡
9100028,福井県,福井市,学園,フクイケン,フクイシ,ガクエン,福井県福井市学園
